"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"A1CF","OG",1,0,0,"multiple"
"ABI1","TSG;fusion",0,1,1,"multiple"
"ABL1","OG;fusion",1,0,1,"multiple"
"ABL2","OG;fusion",1,0,1,"multiple"
"ACKR3","OG;fusion",1,0,1,"multiple"
"ACVR1","OG",1,0,0,"brain"
"ACVR2A","TSG",0,1,0,"colorectal;esophagus;hepatobiliary;pan-gynecological and breast;pancreas;small_intestine;stomach"
"AFDN","OG;fusion",1,0,1,"breast"
"AFF3","OG;fusion",1,0,1,"multiple"
"AFF4","OG;fusion",1,0,1,"hepatobiliary"
"AKT1","OG",1,0,0,"blood;brain;breast;pan-gynecological and breast;prostate;soft_tissue;uterus"
"AKT2","OG",1,0,0,"breast;head_and_neck"
"AKT3","OG",1,0,0,"breast;hepatobiliary"
"ALK","OG;fusion",1,0,1,"breast;peripheral_nervous_system;skin;thymus"
"AMER1","TSG",0,1,0,"colorectal;stomach"
"APC","TSG",0,1,0,"adrenal_gland;breast;colorectal;esophagus;hepatobiliary;lung;pan-gastric;prostate;small_intestine;stomach"
"APOBEC3B","OG;TSG",1,1,0,"multiple"
"AR","OG",1,0,0,"prostate;stomach"
"ARAF","OG",1,0,0,"hepatobiliary"
"ARHGAP26","TSG;fusion",0,1,1,"multiple"
"ARHGAP5","OG",1,0,0,"multiple"
"ARHGEF10","TSG",0,1,0,"multiple"
"ARHGEF10L","TSG",0,1,0,"peripheral_nervous_system"
"ARHGEF12","TSG;fusion",0,1,1,"lung"
"ARID1A","TSG;fusion",0,1,1,"adrenal_gland;bladder;blood;brain;breast;cervix;colorectal;esophagus;head_and_neck;hepatobiliary;kidney;lung;ovary;pan-gastric;pan-gynecological and breast;pancreas;peripheral_nervous_system;prostate;skin;small_intestine;stomach;uterus"
"ARID1B","TSG",0,1,0,"blood;breast;esophagus;hepatobiliary;lung;peripheral_nervous_system;stomach"
"ARID2","TSG",0,1,0,"blood;brain;breast;esophagus;hepatobiliary;kidney;lung;pancreas;skin;small_intestine;stomach"
"ARNT","OG;TSG;fusion",1,1,1,"multiple"
"ASXL1","TSG",0,1,0,"bladder;blood;breast;colorectal;hepatobiliary;penis;soft_tissue"
"ASXL2","TSG",0,1,0,"bladder;blood"
"ATF1","OG;fusion",1,0,1,"multiple"
"ATM","TSG",0,1,0,"bladder;blood;bone;breast;colorectal;head_and_neck;hepatobiliary;kidney;lung;pan-gastric;pan-gynecological and breast;pancreas;prostate;small_intestine;stomach;thyroid"
"ATP1A1","OG;TSG",1,1,0,"multiple"
"ATP2B3","TSG",0,1,0,"multiple"
"ATR","TSG",0,1,0,"breast;uterus"
"ATRX","TSG",0,1,0,"adrenal_gland;bone;brain;breast;lung;pancreas;peripheral_nervous_system;skin;soft_tissue"
"AXIN1","TSG",0,1,0,"breast;esophagus;hepatobiliary;pancreas;small_intestine"
"AXIN2","TSG",0,1,0,"colorectal;stomach"
"B2M","TSG",0,1,0,"blood;esophagus;pan-gastric;pan-gynecological and breast;skin"
"BAP1","TSG",0,1,0,"bone;breast;head_and_neck;hepatobiliary;kidney;pleura;skin;thymus;uvea"
"BARD1","TSG",0,1,0,"multiple"
"BAX","TSG",0,1,0,"multiple"
"BAZ1A","TSG",0,1,0,"multiple"
"BCL10","TSG;fusion",0,1,1,"blood"
"BCL11A","OG;fusion",1,0,1,"blood"
"BCL11B","OG;TSG;fusion",1,1,1,"blood;stomach"
"BCL2","OG;fusion",1,0,1,"blood"
"BCL2L12","OG",1,0,0,"multiple"
"BCL3","OG;fusion",1,0,1,"hepatobiliary"
"BCL6","OG;fusion",1,0,1,"blood;hepatobiliary"
"BCL9","OG;fusion",1,0,1,"pan-gastric"
"BCL9L","OG;TSG",1,1,0,"colorectal;stomach"
"BCOR","TSG;fusion",0,1,1,"blood;brain;breast;pan-gastric;retina;stomach;uterus"
"BCORL1","OG;TSG",1,1,0,"brain;pancreas;stomach"
"BIRC3","OG;TSG;fusion",1,1,1,"blood"
"BIRC6","OG;fusion",1,0,1,"stomach"
"BLM","TSG",0,1,0,"multiple"
"BMPR1A","OG;TSG",1,1,0,"multiple"
"BRAF","OG;fusion",1,0,1,"blood;brain;breast;colorectal;esophagus;head_and_neck;hepatobiliary;lung;ovary;pan-gastric;prostate;skin;small_intestine;thyroid"
"BRCA1","TSG",0,1,0,"breast;lung;ovary;pan-gynecological and breast;penis;prostate;skin"
"BRCA2","TSG",0,1,0,"bone;breast;hepatobiliary;ovary;pancreas;prostate;stomach"
"BRD3","OG;fusion",1,0,1,"lung"
"BRD4","OG;fusion",1,0,1,"multiple"
"BRIP1","TSG",0,1,0,"breast"
"BTG1","TSG;fusion",0,1,1,"blood"
"BTK","OG;TSG",1,1,0,"blood"
"BUB1B","TSG",0,1,0,"breast"
"CACNA1D","OG",1,0,0,"multiple"
"CALR","OG",1,0,0,"blood"
"CAMTA1","TSG;fusion",0,1,1,"blood"
"CARD11","OG",1,0,0,"blood;kidney"
"CARS1","TSG;fusion",0,1,1,"multiple"
"CASP3","TSG",0,1,0,"multiple"
