drug_name,target_gene,target_type,target_pathway,source,gdsc_name
Tanespimycin,HSP90AA1,primary,Protein stability and degradation,GDSC,Tanespimycin
VX-702,P38,primary,JNK and p38 signaling,GDSC,VX-702
Motesanib,KDR,primary,RTK signaling,GDSC,Motesanib
Motesanib,RET,secondary,RTK signaling,GDSC,Motesanib
Motesanib,KIT,secondary,RTK signaling,GDSC,Motesanib
Motesanib,PDGFRA,secondary,RTK signaling,GDSC,Motesanib
KU-55933,ATM,primary,Genome integrity,GDSC,KU-55933
Elesclomol,HSP90AA1,primary,Protein stability and degradation,GDSC,Elesclomol
Afatinib,EGFR,primary,EGFR signaling,GDSC,Afatinib
Afatinib,ERBB2,secondary,EGFR signaling,GDSC,Afatinib
Vismodegib,SMO,primary,Other,GDSC,Vismodegib
PLX-4720,BRAF,primary,ERK MAPK signaling,GDSC,PLX-4720
BX796,NA,NA,NA,not_found,NA
NU7441,DNAPK,primary,Genome integrity,GDSC,NU7441
SL0101,RSK,primary,"Other, kinases",GDSC,SL0101
SL0101,AURKB,secondary,"Other, kinases",GDSC,SL0101
SL0101,PIM1,secondary,"Other, kinases",GDSC,SL0101
SL0101,PIM3,secondary,"Other, kinases",GDSC,SL0101
Doramapimod,P38,primary,JNK and p38 signaling,GDSC,Doramapimod
Doramapimod,JNK2,secondary,JNK and p38 signaling,GDSC,Doramapimod
JNK Inhibitor VIII,JNK,primary,JNK and p38 signaling,GDSC,JNK Inhibitor VIII
681640,WEE1,primary,Cell cycle,GDSC,Wee1 Inhibitor
681640,CHEK1,secondary,Cell cycle,GDSC,Wee1 Inhibitor
Nutlin-3a (-),MDM2,primary,p53 pathway,GDSC,Nutlin-3a (-)
PD173074,FGFR1,primary,RTK signaling,GDSC,PD173074
PD173074,FGFR2,secondary,RTK signaling,GDSC,PD173074
PD173074,FGFR3,secondary,RTK signaling,GDSC,PD173074
ZM447439,AURKA,primary,Mitosis,GDSC,ZM447439
ZM447439,AURKB,secondary,Mitosis,GDSC,ZM447439
RO-3306,CDK1,primary,Cell cycle,GDSC,RO-3306
MK-2206,AKT1,primary,PI3K/MTOR signaling,GDSC,MK-2206
MK-2206,AKT2,secondary,PI3K/MTOR signaling,GDSC,MK-2206
Palbociclib,CDK4,primary,Cell cycle,GDSC,Palbociclib
Palbociclib,CDK6,secondary,Cell cycle,GDSC,Palbociclib
Dactolisib,PI3K (CLASS 1),primary,PI3K/MTOR signaling,GDSC,Dactolisib
Dactolisib,MTOR,secondary,PI3K/MTOR signaling,GDSC,Dactolisib
Dactolisib,MTOR,secondary,PI3K/MTOR signaling,GDSC,Dactolisib
Pictilisib,PI3K (CLASS 1),primary,PI3K/MTOR signaling,GDSC,Pictilisib
AZD8055,MTOR,primary,PI3K/MTOR signaling,GDSC,AZD8055
AZD8055,MTOR,secondary,PI3K/MTOR signaling,GDSC,AZD8055
PD0325901,MEK1,primary,ERK MAPK signaling,GDSC,PD0325901
PD0325901,MEK2,secondary,ERK MAPK signaling,GDSC,PD0325901
SB590885,BRAF,primary,ERK MAPK signaling,GDSC,SB590885
Selumetinib,MEK1,primary,ERK MAPK signaling,GDSC,Selumetinib
Selumetinib,MEK2,secondary,ERK MAPK signaling,GDSC,Selumetinib
AZD6482,PI3KBETA,primary,PI3K/MTOR signaling,GDSC,AZD6482
CCT007093,PPM1D,primary,Cell cycle,GDSC,CCT007093
EHT-1864,RAC1,primary,Cytoskeleton,GDSC,EHT-1864
