drug_name,target_gene,target_pathway,source
Tanespimycin,HSP90AA1,Protein stability and degradation,GDSC
VX-702,P38,JNK and p38 signaling,GDSC
Motesanib,KDR,RTK signaling,GDSC
KU-55933,ATM,Genome integrity,GDSC
Elesclomol,HSP90AA1,Protein stability and degradation,GDSC
Afatinib,EGFR,EGFR signaling,GDSC
Vismodegib,SMO,Other,GDSC
PLX-4720,BRAF,ERK MAPK signaling,GDSC
BX796,NA,NA,not_found
NU7441,DNAPK,Genome integrity,GDSC
SL0101,RSK,"Other, kinases",GDSC
Doramapimod,P38,JNK and p38 signaling,GDSC
JNK Inhibitor VIII,JNK,JNK and p38 signaling,GDSC
681640,WEE1,Cell cycle,GDSC
Nutlin-3a (-),MDM2,p53 pathway,GDSC
PD173074,FGFR1,RTK signaling,GDSC
ZM447439,AURKA,Mitosis,GDSC
RO-3306,CDK1,Cell cycle,GDSC
MK-2206,AKT1,PI3K/MTOR signaling,GDSC
Palbociclib,CDK4,Cell cycle,GDSC
Dactolisib,PI3K (CLASS 1),PI3K/MTOR signaling,GDSC
Pictilisib,PI3K (CLASS 1),PI3K/MTOR signaling,GDSC
AZD8055,MTOR,PI3K/MTOR signaling,GDSC
PD0325901,MEK1,ERK MAPK signaling,GDSC
SB590885,BRAF,ERK MAPK signaling,GDSC
Selumetinib,MEK1,ERK MAPK signaling,GDSC
AZD6482,PI3KBETA,PI3K/MTOR signaling,GDSC
CCT007093,PPM1D,Cell cycle,GDSC
EHT-1864,RAC1,Cytoskeleton,GDSC
Avagacestat,AMYLOID BETA20,Other,GDSC
BMS-536924,IGF1R,IGF1R signaling,GDSC
Cetuximab,EGFR,EGFR signaling,GDSC
PF-4708671,S6K1,PI3K/MTOR signaling,GDSC
Serdemetan,MDM2,p53 pathway,GDSC
HG-5-113-01,AURKA,Mitosis,GDSC
HG-5-88-01,TAK1,"Other, kinases",GDSC
TW 37,BCL2,Apoptosis regulation,GDSC
XMD11-85h,LRRK2,"Other, kinases",GDSC
ZG-10,JNK1,JNK and p38 signaling,GDSC
