drug,gene_symbol,block_assignment,shared_modalities,tissue_modalities,tissue_blocks
(5Z)-7-Oxozeaenol,AKR1B10,shared,expression,NA,NA
(5Z)-7-Oxozeaenol,BAX,shared,rppa_total,NA,NA
(5Z)-7-Oxozeaenol,BRAF,tissue,NA,mutation,SKIN
(5Z)-7-Oxozeaenol,FRMD4B,tissue,NA,copy_number,SKIN
(5Z)-7-Oxozeaenol,G6PD,shared,rppa_total,NA,NA
(5Z)-7-Oxozeaenol,MAP2K1,shared,rppa_phospho;rppa_total,NA,NA
(5Z)-7-Oxozeaenol,PREX1,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
(5Z)-7-Oxozeaenol,TP53,both,mutation,mutation,LUNG
5-Fluorouracil,ACTR3BP2,shared,copy_number,NA,NA
5-Fluorouracil,ADAM6,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ADNP,tissue,NA,copy_number,BREAST
5-Fluorouracil,ADRBK1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,AMIGO2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,AMOTL2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ANKRD13D,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ANXA7,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ARHGAP40,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ARHGEF18,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,ARL17A,shared,copy_number,NA,NA
5-Fluorouracil,ATL1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ATP1B1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BAIAP2L1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,BAX,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BCAS4,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BIN2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,C19ORF33,tissue,NA,expression,CENTRAL_NERVOUS_SYSTEM
5-Fluorouracil,C7ORF10,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,C9,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,CASC5,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,CAV1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,CAV2,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,CCDC152,tissue,NA,copy_number,AUTONOMIC_GANGLIA
5-Fluorouracil,CLCF1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
