drug,method,block,gene_symbol,relevant_tissues,modalities,n_supporting_features,supporting_features,max_selection_count,max_abs_coef,signed_coef,expr_tau,expr_entropy,expr_top_tissue,expr_second_tissue,expr_top_median,expr_second_median,expr_median_tissue,expr_top_to_median,expr_class,target_type,target_pathway,direct_target
(5Z)-7-Oxozeaenol,EN,en,BRAF,NA,mutation,2,BRAF_mut.hs;BRAF_mut.hsrec,200,0.12454454574165297,-0.12454454574165297,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,CLDN7,NA,rppa_total,1,Claudin-7,123,0.0027369381781526827,0.0027369381781526827,0.28730128380520237,0.9901927819744566,PROSTATE,BILIARY_TRACT,10.142115,10.093875,7.45928925,1.3596623833832426,restricted,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,CNTNAP5,NA,mutation,1,CNTNAP5_mut.mis,121,0.008186370438585801,0.008186370438585801,0.03242923335750009,0.9999718278013796,AUTONOMIC_GANGLIA,BILIARY_TRACT,4.30344,4.2582355,4.175843,1.0305559859410423,broad,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,CNTRL,NA,mutation,1,CNTRL_mut.mis,132,0.013120007819485937,0.013120007819485937,0.24153533376971353,0.9988274197183232,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CERVIX,9.403115,7.8238924999999995,7.167968,1.3118243552426572,restricted,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,IGFBP2,NA,rppa_total,1,IGFBP2,102,0.0020381284911588932,0.0020381284911588932,0.268379103420833,0.9930107066822873,SMALL_INTESTINE,AUTONOMIC_GANGLIA,10.1364055,10.09681,7.8863055,1.2853173770658517,restricted,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,KEAP1,NA,mutation,1,KEAP1_mut.mis,150,0.016827134921444227,0.016827134921444227,0.06667461443791024,0.9998944414866342,CERVIX,SMALL_INTESTINE,9.4290585,9.3036175,8.790107249999998,1.0726898127437525,intermediate,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,MAP2K1,NA,rppa_phospho;rppa_total,2,MEK1;MEK1_pS217_S221,165,0.006343109133421485,-0.006343109133421485,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,RB1,NA,mutation,1,RB1_mut.tr,109,0.006131335211102416,0.006131335211102416,0.14317264562129378,0.9996524311014444,SMALL_INTESTINE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,8.6479025,8.075445,7.4894155,1.154683232623427,intermediate,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,SLC22A16,NA,mutation,1,SLC22A16_mut.tr,117,0.029592021896906472,-0.029592021896906472,0.048341563707019385,0.9999525551103925,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BILIARY_TRACT,4.532601,4.4329995,4.314043,1.0506619892291291,broad,NA,NA,FALSE
(5Z)-7-Oxozeaenol,EN,en,TP53,NA,mutation,1,TP53_mut.hs,200,0.05439807904535361,0.05439807904535361,0.12687230869689042,0.9989487545823764,THYROID,STOMACH,8.278982,8.16865,7.3216505,1.1307535097448314,intermediate,NA,NA,FALSE
