drug,gene_symbol,expected_block,example_group,block_assignment,shared_modalities,tissue_modalities,tissue_blocks,expr_tau,expr_class,expr_top_tissue,expr_top_to_median,pct_improvement_dsen,lto_pct_improvement,dsen_shared_win_rate,relevant_tissues_dsen_shared,relevant_tissues_dsen_tissue,modalities_dsen_shared,modalities_dsen_tissue,max_selection_count_dsen_shared,max_selection_count_dsen_tissue,signed_coef_dsen_shared,signed_coef_dsen_tissue,direct_target_dsen_shared,direct_target_dsen_tissue,target_type_dsen_shared,target_type_dsen_tissue,en_modalities,en_max_selection_count,en_signed_coef,en_direct_target,en_target_type,observed_status,matches_expected
PLX-4720,BRAF,shared,shared_control,shared,mutation,NA,NA,0.08501969002067573,intermediate,SMALL_INTESTINE,1.0878916719097695,-7.39678652813264,-16.02261170504172,0.307692307692308,,NA,mutation,NA,197,NA,-0.087248477584503,NA,TRUE,NA,primary,NA,mutation,200,-0.16636683715472003,TRUE,primary,shared,TRUE
Dabrafenib,BRAF,shared,shared_control,both,mutation,mutation,SKIN,0.08501969002067573,intermediate,SMALL_INTESTINE,1.0878916719097695,-0.147362357156523,-37.6308225954436,0.333333333333333,,SKIN,mutation,mutation,198,200,-0.0494696996614763,-0.136413122560287,TRUE,TRUE,primary,primary,mutation,200,-0.38767850854261754,TRUE,primary,both,TRUE
Nutlin-3a (-),MDM2,shared,shared_control,shared,rppa_phospho,NA,NA,0.09297124107566569,intermediate,KIDNEY,1.107599695629909,0.133448992567489,1.1225403690718692,0.461538461538462,,NA,rppa_phospho,NA,132,NA,-0.00158700038937742,NA,TRUE,NA,primary,NA,NA,NA,NA,NA,NA,shared,TRUE
Cetuximab,EGFR,shared,shared_control,shared,rppa_total,NA,NA,0.19058247762170852,restricted,OESOPHAGUS,1.2238213873804953,0.43944162936584,-0.043967828095885085,0.416666666666667,,NA,rppa_total,NA,197,NA,-0.00712018394372861,NA,TRUE,NA,primary,NA,rppa_total,199,-0.006928264892879808,TRUE,primary,shared,TRUE
Gefitinib,EGFR,shared,shared_control,shared,rppa_total,NA,NA,0.19058247762170852,restricted,OESOPHAGUS,1.2238213873804953,17.3962894793903,-0.5232260957157397,0.583333333333333,,NA,rppa_total,NA,124,NA,-0.00107038971708975,NA,TRUE,NA,primary,NA,mutation;rppa_phospho;rppa_total,200,-0.008229584753799351,TRUE,primary,shared,TRUE
Afatinib,EGFR,shared,shared_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rppa_total,137,-0.0027765176412802755,TRUE,primary,not_selected,FALSE
Afatinib,ERBB2,shared,shared_control,shared,copy_number;rppa_total,NA,NA,0.13017720485104894,intermediate,BREAST,1.1388864517091897,11.9896986627341,0.39688863513618333,0.416666666666667,,NA,copy_number;rppa_total,NA,110,NA,-0.00187051359103746,NA,TRUE,NA,secondary,NA,rppa_total,107,-0.0014669184839986571,TRUE,secondary,shared,TRUE
Navitoclax,BCL2,shared,shared_control,shared,rppa_total,NA,NA,0.2302717885965931,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3225425120343186,7.33644040164538,6.441587042087721,0.692307692307692,,NA,rppa_total,NA,199,NA,-0.0082250606323089,NA,TRUE,NA,primary,NA,rppa_total,200,-0.008703633079871785,TRUE,primary,shared,TRUE
Refametinib,MAP2K1,shared,shared_control,both,rppa_phospho,rppa_phospho,SKIN,0.10498460785305476,intermediate,CERVIX,1.1101388829517451,10.4566022903118,-11.402025370450845,0.25,,SKIN,rppa_phospho,rppa_phospho,197,110,-0.00504358070846425,-0.00120166301085975,TRUE,TRUE,primary,primary,rppa_phospho,160,-0.005565536956485128,TRUE,primary,both,TRUE
Refametinib,MAP2K2,shared,shared_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_selected,FALSE
