drug,method,block,gene_symbol,relevant_tissues,modalities,n_supporting_features,supporting_features,max_selection_count,max_abs_coef,signed_coef,expr_tau,expr_entropy,expr_top_tissue,expr_second_tissue,expr_top_median,expr_second_median,expr_median_tissue,expr_top_to_median,expr_class,target_type,target_pathway,direct_target,pct_improvement_dsen,lto_pct_improvement,dsen_shared_win_rate
Tivozanib,DSEN,tissue,PDGFRA,LUNG,copy_number,1,PDGFRA_CN,102,4.732002380458195e-4,-4.732002380458195e-4,0.6365469407046809,0.981215117436014,FIBROBLAST,AUTONOMIC_GANGLIA,10.980715,8.049039,3.602088,3.0484305214086937,restricted,secondary,RTK signaling,TRUE,9.14882983237256,4.463319062709845,0.769230769230769
Sunitinib,DSEN,tissue,PDGFRA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,PDGFRA_CN,101,0.0014877465385351204,0.0014877465385351204,0.6365469407046809,0.981215117436014,FIBROBLAST,AUTONOMIC_GANGLIA,10.980715,8.049039,3.602088,3.0484305214086937,restricted,primary,RTK signaling,TRUE,13.2645741785206,NA,NA
PD173074,DSEN,tissue,FGFR2,STOMACH,copy_number,1,FGFR2_CN,126,0.009313563272010012,-0.009313563272010012,0.40011343877560507,0.9920492686028232,SMALL_INTESTINE,OESOPHAGUS,8.818854,7.578883,4.99723425,1.7647469697863374,restricted,secondary,RTK signaling,TRUE,5.54636940395247,0.9644263930749102,0.615384615384615
Rapamycin,DSEN,tissue,MTOR,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,1,mTOR,160,0.0031070782597193303,0.0031070782597193303,0.1440459263353212,0.9995967206344966,CERVIX,SMALL_INTESTINE,8.543769000000001,8.0207425,7.39190175,1.1558282684154997,intermediate,primary,PI3K/MTOR signaling,TRUE,3.38312443701412,NA,NA
Ruxolitinib,DSEN,tissue,JAK2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,1,JAK2,129,0.0035658138951739533,-0.0035658138951739533,0.13897411815768587,0.9994948360896321,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,FIBROBLAST,6.2852365,5.9744165,5.5262435,1.1373433870584966,intermediate,secondary,"Other, kinases",TRUE,7.885217994794,6.200604934556651,0.923076923076923
PD0325901,DSEN,tissue,MAP2K1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_phospho,1,MEK1_pS217_S221,179,0.003026275752257665,-0.003026275752257665,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,4.97995465677282,-4.246488908807473,0.333333333333333
Refametinib_repl_1014,DSEN,tissue,MAP2K1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_phospho,1,MEK1_pS217_S221,162,0.0052157265361264275,-0.0052157265361264275,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,3.6131286010883,-9.800441545313724,0.5
Refametinib,DSEN,tissue,MAP2K1,SKIN,rppa_phospho,1,MEK1_pS217_S221,110,0.0012016630108597542,-0.0012016630108597542,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,10.4566022903118,-11.402025370450845,0.25
CI-1040,DSEN,tissue,MAP2K1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_phospho,1,MEK1_pS217_S221,103,0.004199007276060544,-0.004199007276060544,0.10498460785305476,0.9998656103633461,CERVIX,UPPER_AERODIGESTIVE_TRACT,12.010995000000001,11.04186,10.8193625,1.1101388829517451,intermediate,primary,ERK MAPK signaling,TRUE,6.74349788988655,-7.657142851441467,0.333333333333333
Dabrafenib,DSEN,tissue,BRAF,SKIN,mutation,3,BRAF_mut.hs;BRAF_mut.hsrec;BRAF_mut.mis,200,0.13641312256028731,-0.13641312256028731,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-0.147362357156523,-37.6308225954436,0.333333333333333
PLX-4720_repl_1371,DSEN,tissue,BRAF,SKIN,mutation,1,BRAF_mut.hsrec,198,0.10926066236770574,-0.10926066236770574,0.08501969002067573,0.9996820583800465,SMALL_INTESTINE,OESOPHAGUS,7.170510500000001,7.045504,6.591199,1.0878916719097695,intermediate,primary,ERK MAPK signaling,TRUE,-2.53451200864315,-9.566995144100362,0.461538461538462
AKT inhibitor VIII_repl_228,DSEN,tissue,AKT1,CENTRAL_NERVOUS_SYSTEM,rppa_phospho,1,Akt_pS473,170,0.0012964743618876457,0.0012964743618876457,0.06816355674963744,0.9998404897428927,BREAST,BILIARY_TRACT,9.063961,8.850877,8.497171000000002,1.0667033769239196,intermediate,primary,PI3K/MTOR signaling,TRUE,9.46019571945078,5.289939736041245,0.615384615384615
Sunitinib,DSEN,tissue,FLT3,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,FLT3_CN,117,8.609734085572317e-4,-8.609734085572317e-4,0.055593368076450336,0.999862252969473,SMALL_INTESTINE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.772551999999999,4.7422885,4.5279050000000005,1.0540309480874706,broad,secondary,RTK signaling,TRUE,13.2645741785206,NA,NA
Refametinib,DSEN,tissue,S100B,SKIN,expression,1,S100B_Expr,157,0.0017314545829465128,-0.0017314545829465128,0.6963946923148382,0.983306147063984,SKIN,SALIVARY_GLAND,12.05648,3.8639704999999998,3.6413295,3.3110104427517477,restricted,NA,NA,FALSE,10.4566022903118,-11.402025370450845,0.25
Trametinib,DSEN,tissue,S100B,SKIN,expression,1,S100B_Expr,156,0.007886278812684106,-0.007886278812684106,0.6963946923148382,0.983306147063984,SKIN,SALIVARY_GLAND,12.05648,3.8639704999999998,3.6413295,3.3110104427517477,restricted,NA,NA,FALSE,8.31336960760879,-4.761352991175323,0.230769230769231
PD0325901,DSEN,tissue,S100B,SKIN,expression,1,S100B_Expr,148,0.002760289772812174,-0.002760289772812174,0.6963946923148382,0.983306147063984,SKIN,SALIVARY_GLAND,12.05648,3.8639704999999998,3.6413295,3.3110104427517477,restricted,NA,NA,FALSE,4.97995465677282,-4.246488908807473,0.333333333333333
Refametinib_repl_1014,DSEN,tissue,S100B,SKIN,expression,1,S100B_Expr,127,0.002272267760298357,-0.002272267760298357,0.6963946923148382,0.983306147063984,SKIN,SALIVARY_GLAND,12.05648,3.8639704999999998,3.6413295,3.3110104427517477,restricted,NA,NA,FALSE,3.6131286010883,-9.800441545313724,0.5
FH535,DSEN,tissue,S100B,SKIN,expression,1,S100B_Expr,122,0.0012563213568931011,-0.0012563213568931011,0.6963946923148382,0.983306147063984,SKIN,SALIVARY_GLAND,12.05648,3.8639704999999998,3.6413295,3.3110104427517477,restricted,NA,NA,FALSE,0.631670508390624,0.0914046277079781,0.5
Vorinostat,DSEN,tissue,MEOX2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,MEOX2_CN,107,2.5707965782893006e-4,2.5707965782893006e-4,0.6922132513028701,0.9810075229932774,SMALL_INTESTINE,FIBROBLAST,11.468910000000001,6.2855615,3.396796,3.3763905751184353,restricted,NA,NA,FALSE,8.83748207346894,3.857935004847989,0.666666666666667
