drug,gene_symbol,block,relevant_tissues,modalities,expr_tau,expr_class,expr_top_tissue,expr_top_to_median,direct_target,pct_improvement_dsen,lto_pct_improvement
Sepantronium bromide,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,4.14458468441162,0.2153420224525395
WZ3105,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,8.78089380962876,4.63397901654884
AT-7519,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,9.51141825045037,7.8430492996276
Daporinad,ERBB3,shared,NA,rppa_total,0.32672832026827137,restricted,LARGE_INTESTINE,1.3889518132074594,FALSE,6.52400670005628,-1.2535514619015373
Bleomycin (50 uM),CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,7.45408438663825,2.260925719601204
Navitoclax,BCL2,shared,NA,rppa_total,0.2302717885965931,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3225425120343186,TRUE,7.33644040164538,6.441587042087721
AKT inhibitor VIII_repl_228,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,9.46019571945078,5.289939736041245
AZD7762,SRGN,shared,NA,expression,0.5380247880862851,restricted,FIBROBLAST,2.848983528701312,FALSE,8.65308477201097,0.31047237284638796
AR-42,WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,8.26314451254655,2.327904163549361
BX796,RAB25,shared,NA,rppa_total,0.4214821695290674,restricted,LARGE_INTESTINE,2.488185868639405,FALSE,6.28084625572421,3.065794564749317
Cetuximab,EGFR,shared,NA,rppa_total,0.19058247762170852,restricted,OESOPHAGUS,1.2238213873804953,TRUE,0.43944162936584,-0.043967828095885085
Vinblastine,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,3.52858367133823,-0.23505429592699656
Camptothecin,SLFN11,shared,NA,expression,0.34450154051406,restricted,BONE,1.6698799383169332,FALSE,5.46052603185659,1.1461786918602594
VX-11e,LYZ,shared,NA,expression,0.5506626838442888,restricted,LARGE_INTESTINE,2.278576620270908,FALSE,2.21838908232525,-0.07120116397426857
Pelitinib,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,1.70985545732213,2.476938143275056
Genentech Cpd 10,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,6.46009814011629,3.253673072872552
AZD6482,CDKN1A,shared,NA,rppa_total,0.21640103797177754,restricted,FIBROBLAST,1.2866154308581088,FALSE,1.10475277103366,-0.5847949904885684
SN-38,SLFN11,shared,NA,expression,0.34450154051406,restricted,BONE,1.6698799383169332,FALSE,6.51489067950258,5.890731459542061
Elesclomol,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,3.34292038992637,-0.6277039651830623
Refametinib,ERBB3,shared,NA,rppa_total,0.32672832026827137,restricted,LARGE_INTESTINE,1.3889518132074594,FALSE,10.4566022903118,-11.402025370450845
BX-912,P2RY8,shared,NA,expression,0.5738195184537171,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.3439355243907167,FALSE,6.47729232929053,2.1807207170561504
QL-VIII-58,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,4.50176630079442,0.7776074147266703
Docetaxel,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,10.6254834568127,3.9673637371066817
ZG-10,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,5.45530192819272,9.598319723583694
Navitoclax,PAPSS2,shared,NA,expression,0.3228812288544132,restricted,PLEURA,1.4445745188969537,FALSE,7.33644040164538,6.441587042087721
PAC-1,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,7.4519251451229,6.94386091973338
CP466722,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,8.03413194698878,8.12396608484664
BX796,ERBB3,shared,NA,rppa_total,0.32672832026827137,restricted,LARGE_INTESTINE,1.3889518132074594,FALSE,6.28084625572421,3.065794564749317
Elesclomol,CLDN7,shared,NA,rppa_total,0.28730128380520237,restricted,PROSTATE,1.3596623833832426,FALSE,3.34292038992637,-0.6277039651830623
Elesclomol,SYK,shared,NA,rppa_total,0.3597383929561978,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6137190330475226,FALSE,3.34292038992637,-0.6277039651830623
Vinblastine,RAB25,shared,NA,rppa_total,0.4214821695290674,restricted,LARGE_INTESTINE,2.488185868639405,FALSE,3.52858367133823,-0.23505429592699656
Ispinesib Mesylate,RCSD1,shared,NA,expression,0.598106718642782,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.4891892803765674,FALSE,5.11716142598801,2.597224861093527
Vinorelbine,ABCB1,shared,NA,expression,0.422378269545355,restricted,KIDNEY,1.8729975774627323,FALSE,2.52273300330658,0.7168326209009579
