"drug","held_out_tissue","n_test","mse_en","mse_dsen_shared","mse_dsen_full","status"
"Tanespimycin","AUTONOMIC_GANGLIA",29,0.0203809359578188,0.0333282519807837,0.0333282519807837,"success"
"Tanespimycin","BONE",38,0.0206364371592031,0.0302058746178283,0.0302058746178283,"success"
"Tanespimycin","BREAST",44,0.036955318164846,0.0353487420537384,0.0353487420537384,"success"
"Tanespimycin","CENTRAL_NERVOUS_SYSTEM",51,0.0386640000317272,0.0364940576403789,0.0364940576403789,"success"
"Tanespimycin","HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",158,0.0372307882800166,0.0426535556041418,0.0426535556041418,"success"
"Tanespimycin","LARGE_INTESTINE",42,0.0303267778859108,0.0299469291208744,0.0299469291208744,"success"
"Tanespimycin","LUNG",141,0.0331287110405949,0.036372274042301,0.036372274042301,"success"
"Tanespimycin","OESOPHAGUS",31,0.0405930281421931,0.04274842141574,0.04274842141574,"success"
"Tanespimycin","OVARY",39,0.0369117078754412,0.039413684350766,0.039413684350766,"success"
"Tanespimycin","PANCREAS",25,0.0288784088660419,0.0301219372220314,0.0301219372220314,"success"
"Tanespimycin","SKIN",46,0.0683274507515735,0.0646581441405406,0.0646581441405406,"success"
"Tanespimycin","STOMACH",26,0.0597489363172397,0.0579671540819781,0.0579671540819781,"success"
"Tanespimycin","UPPER_AERODIGESTIVE_TRACT",36,0.0726674092479585,0.0588653328043811,0.0588653328043811,"success"
"VX-702","AUTONOMIC_GANGLIA",28,0.000269357122971003,0.000294967875623957,0.000294967875623957,"success"
"VX-702","BONE",34,0.000683868565264831,0.000668764404076651,0.000668764404076651,"success"
"VX-702","BREAST",45,0.00015742052722651,0.000196251281140641,0.000196251281140641,"success"
"VX-702","CENTRAL_NERVOUS_SYSTEM",52,0.000176092620085593,0.000169389963093595,0.000169389963093595,"success"
"VX-702","HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",155,0.00148229666179764,0.00130227293304685,0.00130227293304685,"success"
"VX-702","LARGE_INTESTINE",44,0.00261456356259648,0.00260209077040575,0.00260209077040575,"success"
"VX-702","LUNG",145,0.00161986236416406,0.00160977155055357,0.00160977155055357,"success"
"VX-702","OESOPHAGUS",31,0.000945389241038563,0.000923137616700756,0.000923137616700756,"success"
"VX-702","OVARY",38,0.000838253540279611,0.000820371500441937,0.000820371500441937,"success"
"VX-702","PANCREAS",27,0.000192335743994931,0.000192208500524146,0.000192208500524146,"success"
"VX-702","SKIN",49,0.000565527840660937,0.000595420486638652,0.000595420486638652,"success"
"VX-702","UPPER_AERODIGESTIVE_TRACT",35,0.00160172685912544,0.00155674283579754,0.00155674283579754,"success"
"Motesanib","AUTONOMIC_GANGLIA",29,0.00161589535663154,0.00166066770365855,0.00166066770365855,"success"
"Motesanib","BONE",38,0.00454233258059858,0.00449406915495891,0.00449406915495891,"success"
"Motesanib","BREAST",44,0.00105113366045344,0.00103393174662088,0.00103393174662088,"success"
"Motesanib","CENTRAL_NERVOUS_SYSTEM",51,0.00126653806973867,0.00122868948721877,0.00122868948721877,"success"
"Motesanib","HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",158,0.00642620573984505,0.00640298675890896,0.00640298675890896,"success"
"Motesanib","LARGE_INTESTINE",42,0.000314699816313974,0.000270417204320376,0.000270417204320376,"success"
"Motesanib","LUNG",141,0.00209743416851327,0.00212987995534846,0.00212987995534846,"success"
"Motesanib","OESOPHAGUS",31,0.000409874517364813,0.000418759071112668,0.000418759071112668,"success"
"Motesanib","OVARY",39,0.000828386661100235,0.000823599786434587,0.000823599786434587,"success"
"Motesanib","PANCREAS",25,0.000753490499809376,0.000756535086445977,0.000756535086445977,"success"
"Motesanib","SKIN",46,0.00224268101264407,0.00223646072109026,0.00223646072109026,"success"
"Motesanib","STOMACH",26,0.000629567376683076,0.000717885302730039,0.000717885302730039,"success"
"Motesanib","UPPER_AERODIGESTIVE_TRACT",36,0.000370041495524728,0.000389143293104286,0.000389143293104286,"success"
"KU-55933","AUTONOMIC_GANGLIA",29,0.000860294222004565,0.000807872389018928,0.000807872389018928,"success"
"KU-55933","BONE",38,0.000727792633515222,0.000724306944757512,0.000724306944757512,"success"
"KU-55933","BREAST",43,0.000845492629347519,0.000816464271282962,0.000816464271282962,"success"
"KU-55933","CENTRAL_NERVOUS_SYSTEM",51,0.00168526202171215,0.00168176363033912,0.00168176363033912,"success"
"KU-55933","HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",158,0.00433996316799582,0.00435836141701935,0.00435836141701935,"success"
"KU-55933","LARGE_INTESTINE",42,0.00151128893119084,0.00147431005037884,0.00147431005037884,"success"
"KU-55933","LUNG",140,0.00112979679124544,0.00110126982696899,0.00110126982696899,"success"
"KU-55933","OESOPHAGUS",31,0.000568210277593604,0.000548880380810342,0.000548880380810342,"success"
"KU-55933","OVARY",39,0.00126386866423919,0.00128066410424748,0.00128066410424748,"success"
"KU-55933","PANCREAS",25,0.000829584083703634,0.000811519167021532,0.000811519167021532,"success"
"KU-55933","SKIN",46,0.00135256600739966,0.00133086400230588,0.00133086400230588,"success"
"KU-55933","STOMACH",26,0.00103668741898021,0.00104128043848608,0.00104128043848608,"success"
"KU-55933","UPPER_AERODIGESTIVE_TRACT",36,0.00247240450827399,0.00252215674712805,0.00252215674712805,"success"
"Elesclomol","AUTONOMIC_GANGLIA",28,0.0414581632595656,0.0418701236987979,0.0418701236987979,"success"
