"drug","n_tissues_tested","mean_mse_en","mean_mse_dsen_shared","mean_mse_dsen_full","dsen_shared_win_rate","dsen_full_win_rate"
"(5Z)-7-Oxozeaenol",13,0.0293051492995365,0.0291083448778782,0.0291083448778782,0.538461538461538,0.538461538461538
"5-Fluorouracil",13,0.0272006942371376,0.0263555072201767,0.0263555072201767,0.769230769230769,0.769230769230769
"681640",10,0.00410056200105206,0.0041053077768407,0.0041053077768407,0.5,0.5
"AICA Ribonucleotide",12,0.0116005287073539,0.0106737508065032,0.0106737508065032,0.833333333333333,0.833333333333333
"AKT inhibitor VIII",13,0.00354732738680737,0.00360072082735695,0.00360072082735695,0.461538461538462,0.461538461538462
"AKT inhibitor VIII_repl_228",13,0.0165907301382319,0.0157130905121502,0.0157130905121502,0.615384615384615,0.615384615384615
"AR-42",13,0.038380963969613,0.037487491911354,0.037487491911354,0.692307692307692,0.692307692307692
"AS601245",12,0.00840744494013867,0.00841233880341202,0.00841233880341202,0.416666666666667,0.416666666666667
"AS605240",13,0.0304671399471468,0.0302276665273763,0.0302276665273763,0.538461538461538,0.538461538461538
"AT-7519",13,0.0464630706871654,0.0428189491470502,0.0428189491470502,0.615384615384615,0.615384615384615
"AZD6482",14,0.0111988545258032,0.0112643448660622,0.0112643448660622,0.357142857142857,0.357142857142857
"AZD6482_repl_156",13,0.0104356291756621,0.0102364197909928,0.0102364197909928,0.538461538461538,0.538461538461538
"AZD7762",12,0.0261557096429572,0.0260745033905939,0.0260745033905939,0.416666666666667,0.416666666666667
"AZD8055",12,0.0143596228095223,0.0132863995385329,0.0132863995385329,0.75,0.75
"Afatinib",12,0.0179127969423226,0.0178417030870235,0.0178417030870235,0.416666666666667,0.416666666666667
"Afatinib_repl_1377",13,0.0269587481320601,0.026232608928197,0.026232608928197,0.615384615384615,0.615384615384615
"Alectinib",13,0.0045562210001337,0.00526266140059014,0.00526266140059014,0.0769230769230769,0.0769230769230769
"Amuvatinib",13,0.0238097969274068,0.0232821865857191,0.0232821865857191,0.846153846153846,0.846153846153846
"Avagacestat",14,0.0021900554517821,0.00212755323118922,0.00212755323118922,0.714285714285714,0.714285714285714
"Avagacestat_repl_205",13,0.000154559260298237,0.000154034470512163,0.000154034470512163,0.615384615384615,0.615384615384615
"Axitinib",12,0.00513021024498898,0.00461502700930887,0.00461502700930887,0.833333333333333,0.833333333333333
"BAY-61-3606",12,0.013770729346306,0.0130815265520158,0.0130815265520158,0.833333333333333,0.833333333333333
"BIX02189",13,0.00481753780048549,0.0042663219312681,0.0042663219312681,0.769230769230769,0.769230769230769
"BMS-345541",13,0.00715289784571642,0.0068056035984338,0.0068056035984338,0.538461538461538,0.538461538461538
"BMS-536924",13,0.00693720786300291,0.00700240825194095,0.00700240825194095,0.461538461538462,0.461538461538462
"BMS-754807",11,0.0398291639043007,0.0397850779139628,0.0397850779139628,0.363636363636364,0.363636363636364
"BX-912",13,0.0212055465477972,0.0207431128010644,0.0207431128010644,0.384615384615385,0.384615384615385
"BX796",13,0.00722984216313283,0.00700819005505555,0.00700819005505555,0.615384615384615,0.615384615384615
"Belinostat",13,0.0490633442997534,0.0502097173266686,0.0502097173266686,0.461538461538462,0.461538461538462
"Bexarotene",12,0.00358583842592742,0.00357494848458504,0.00357494848458504,0.666666666666667,0.666666666666667
"Bicalutamide",12,0.000944502458919532,0.000950937856220156,0.000950937856220156,0.416666666666667,0.416666666666667
"Bicalutamide_repl_150",12,0.000115754027429845,0.000115791910999862,0.000115791910999862,0.333333333333333,0.333333333333333
"Bleomycin",12,0.0766941010856921,0.0764367346037918,0.0764367346037918,0.5,0.5
"Bleomycin (50 uM)",14,0.0600620208877948,0.0587040632098304,0.0587040632098304,0.357142857142857,0.357142857142857
"Bosutinib",12,0.0091523570146597,0.00882122971677018,0.00882122971677018,0.666666666666667,0.666666666666667
"Bryostatin 1",12,0.00135780592549024,0.00135911057806406,0.00135911057806406,0.666666666666667,0.666666666666667
"CAY10603",13,0.039065362421939,0.0391756372114543,0.0391756372114543,0.692307692307692,0.692307692307692
"CCT-018159",14,0.0034446591645637,0.00342914107644968,0.00342914107644968,0.428571428571429,0.428571428571429
"CCT007093",13,0.000776940961436929,0.000770412725261714,0.000770412725261714,0.538461538461538,0.538461538461538
"CHIR-99021",13,0.00332745443633834,0.0033551378569311,0.0033551378569311,0.615384615384615,0.615384615384615
"CHIR-99021_repl_154",13,0.00159144899208859,0.0015937933232553,0.0015937933232553,0.538461538461538,0.538461538461538
"CI-1040",12,0.0246415135291318,0.0265283494208147,0.0265283494208147,0.333333333333333,0.333333333333333
"CP466722",13,0.0132113568693272,0.012138070717915,0.012138070717915,0.769230769230769,0.769230769230769
"CP724714",13,0.0039126468463635,0.00390153696401426,0.00390153696401426,0.692307692307692,0.692307692307692
"CUDC-101",13,0.0396460062626595,0.039742796491619,0.039742796491619,0.615384615384615,0.615384615384615
"CX-5461",13,0.0301292228928363,0.0284438994941311,0.0284438994941311,0.769230769230769,0.769230769230769
"Cabozantinib",13,0.00804112655846002,0.00749458833719833,0.00749458833719833,0.769230769230769,0.769230769230769
"Camptothecin",12,0.0421290299770446,0.0416461560123603,0.0416461560123603,0.5,0.5
"Cetuximab",12,0.00554421873790155,0.00554665641046549,0.00554665641046549,0.416666666666667,0.416666666666667
"Cisplatin",12,0.00658613046350008,0.00642276684730861,0.00642276684730861,0.5,0.5
"Cytarabine",12,0.0255186780958874,0.0251468454489318,0.0251468454489318,0.75,0.75
"DMOG",13,0.0367476566624525,0.0333835880072117,0.0333835880072117,0.846153846153846,0.846153846153846
"Dabrafenib",12,0.0305590990104609,0.0420587393458534,0.0420587393458534,0.333333333333333,0.333333333333333
"Dacinostat",12,0.0294257297694727,0.0279178804494727,0.0279178804494727,1,1
"Dactolisib",12,0.0207751738855209,0.020588495397918,0.020588495397918,0.583333333333333,0.583333333333333
"Daporinad",13,0.107311403365158,0.108656607030829,0.108656607030829,0.461538461538462,0.461538461538462
"Docetaxel",12,0.0225730951002822,0.021677538310931,0.021677538310931,0.666666666666667,0.666666666666667
"Doramapimod",13,0.0015909346413042,0.00159046223266952,0.00159046223266952,0.307692307692308,0.307692307692308
"Doxorubicin",12,0.0414948307975957,0.0412553301604402,0.0412553301604402,0.5,0.5
"EHT-1864",14,0.00155481261221524,0.00156808642769501,0.00156808642769501,0.357142857142857,0.357142857142857
"Elesclomol",12,0.043387457221745,0.043659802011118,0.043659802011118,0.666666666666667,0.666666666666667
"Embelin",12,0.00998894000573476,0.00987509243645531,0.00987509243645531,0.666666666666667,0.666666666666667
