"drug","status","n_samples","n_tissues","mse_tglasso","error","mse_en","mse_dsen"
"Tanespimycin","success",706,13,0.0402177928482694,NA,0.0321927669431858,0.0301971221764462
"VX-702","success",683,12,0.00109977962786886,NA,0.00108501046332997,0.00107940382919899
"Motesanib","success",706,13,0.00265342948548985,NA,0.00258533827037053,0.00257914429704109
"KU-55933","success",704,13,0.00196082772380776,NA,0.0018728465230396,0.00181365880279263
"Elesclomol","success",684,12,0.045515261612186,NA,0.0416438109836041,0.0402516915350908
"Afatinib","success",684,12,0.0156377842292588,NA,0.0136151641334491,0.0119827469814119
"Vismodegib","success",685,12,0.000709948019882074,NA,0.000701979695789305,0.000695790864912181
"PLX-4720","success",704,13,0.00785323382458837,NA,0.0060200552648006,0.00646534590161351
"BX796","success",705,13,0.0104375770404285,NA,0.00938158218596367,0.00879233943250888
"NU7441","success",679,12,0.00143274474305734,NA,0.00141729796247874,0.00140483364418839
"SL0101","success",699,13,0.000485843733481051,NA,0.00047961390260761,0.000479991241550476
"Doramapimod","success",695,13,0.00155975753095857,NA,0.00151039253203428,0.00151249407706769
"JNK Inhibitor VIII","success",705,13,0.000645366769117694,NA,0.000592487864282268,0.000567428712093069
"681640","success",568,10,0.00332790361033565,NA,0.00322503195690063,0.00317025900713667
"Nutlin-3a (-)","success",706,13,0.00388250821548745,NA,0.00364171154473289,0.00363685171736423
"PD173074","success",705,13,0.00382233722342273,NA,0.00372289434124229,0.00351640886855815
"ZM447439","success",645,12,0.00658998615347035,NA,0.00601072673536779,0.00596300669880996
"RO-3306","success",706,13,0.00224759271939137,NA,0.00212450632948139,0.00204006058932715
"MK-2206","success",642,11,0.0180111508740229,NA,0.0168133607657491,0.0165689433427254
"Palbociclib","success",643,11,0.0184313534125037,NA,0.0168701110538526,0.0169853098381321
"Dactolisib","success",676,12,0.0209729396713051,NA,0.0195903014680864,0.0194037065261841
"Pictilisib","success",675,12,0.0286821792501872,NA,0.0266504614224311,0.02556840155117
"AZD8055","success",675,12,0.0186318231787276,NA,0.0155184097838863,0.014127717013912
"PD0325901","success",675,12,0.0324183859478786,NA,0.0265542173218913,0.0252318293398002
"SB590885","success",644,11,0.00622905642150456,NA,0.00465561926128401,0.00498498938197053
"Selumetinib","success",642,11,0.0142859965187577,NA,0.012886004106541,0.0123451703950018
"AZD6482","success",764,14,0.0111778874201755,NA,0.010521366256429,0.0104051311711605
"CCT007093","success",757,13,0.000711293173596896,NA,0.000654029599287585,0.000652564300609741
"EHT-1864","success",784,14,0.00155650663968395,NA,0.00152164991404481,0.00153875129781283
"Avagacestat","success",786,14,0.00173287399926756,NA,0.00167883638682014,0.00163310985562132
"BMS-536924","success",760,13,0.00725991910956063,NA,0.00697671826007175,0.00687606163030983
"Cetuximab","success",702,12,0.00505797284858748,NA,0.00467135688072477,0.00465082899393462
"PF-4708671","success",772,14,0.0018677981533088,NA,0.00184952022155048,0.00184456287497583
"Serdemetan","success",778,14,0.00559766350643987,NA,0.00541727346318786,0.00529779552592777
"HG-5-113-01","success",322,8,0.011661701804696,NA,0.0109476176308654,0.0101884978418584
"HG-5-88-01","success",320,8,0.0100153379139983,NA,0.00962269891871164,0.00913806769223203
"TW 37","success",779,14,0.0221584798619757,NA,0.0211726257691191,0.0206948126259066
"XMD11-85h","success",320,8,0.00149580308868843,NA,0.00142373422729052,0.0013831822314482
"ZG-10","success",321,8,0.0141642447440476,NA,0.012420876268069,0.0117432799655186
"XMD8-92","success",321,8,0.00328099621105312,NA,0.00292504381872825,0.00277200289587069
"QL-VIII-58","success",322,8,0.0429539193678386,NA,0.036603786845368,0.0349559699043486
"CCT-018159","success",772,14,0.00394032585470012,NA,0.00363840471266528,0.00362710583983715
"Rucaparib","success",780,14,0.00194749081825758,NA,0.00187893478161658,0.00185139774501912
"GSK269962A","success",786,14,0.0159222281288726,NA,0.0150362517755519,0.0148283686740838
"SB-505124","success",762,13,0.00109537117440077,NA,0.00104904455528063,0.001045294070459
"Tamoxifen","success",762,13,0.000958818072788183,NA,0.000930227005530645,0.000930761516706349
"QL-XII-61","success",287,7,0.00653985018781662,NA,0.00580632137892699,0.00542302523119906
"JQ1","success",751,13,0.00476165739463611,NA,0.00420338188580499,0.00397377582343879
"PFI-1","success",790,14,0.0071043278555206,NA,0.00631279016781041,0.00614369502218052
"IOX2","success",787,14,0.00114391586961669,NA,0.00110592796152512,0.00110588284777741
"UNC0638","success",790,14,0.010742098109704,NA,0.00903382876867808,0.00879410507683945
"YK-4-279","success",610,11,0.0162907950043713,NA,0.014234879390668,0.0143746347329143
"CHIR-99021","success",751,13,0.00300083593135251,NA,0.00281715949241111,0.00266639588233811
"(5Z)-7-Oxozeaenol","success",752,13,0.030530770323223,NA,0.0244324585886342,0.0224052354509772
"Piperlongumine","success",762,13,0.00753522831868324,NA,0.00700516109349702,0.00686713107950804
"Daporinad","success",738,13,0.116365308699604,NA,0.0990836432512528,0.0926194197268812
"Talazoparib","success",751,13,0.0412516533907401,NA,0.0386268838046984,0.0347955414102222
"rTRAIL","success",757,13,0.00962368791332551,NA,0.00935238152446379,0.00917992069928709
"UNC1215","success",748,13,0.00010865759369424,NA,0.000105449729680264,0.000104574134641357
"SGC0946","success",747,13,0.000197132331009264,NA,0.000189177124687828,0.000187735799900097
"XAV939","success",755,13,0.00227954945125533,NA,0.0021321410426755,0.00213009220967498
"PLX-4720_repl_1371","success",754,13,0.00567177976018145,NA,0.00407261133732324,0.00417583216073306
"Trametinib","success",738,13,0.080732873917682,NA,0.0630775732828775,0.0578337014763616
"Dabrafenib","success",693,12,0.0274920418076963,NA,0.0172018317240092,0.0172271807487118
"Temozolomide","success",747,13,0.000977327383850129,NA,0.0009612376067112,0.000960606216321057
"Afatinib_repl_1377","success",751,13,0.023028474326983,NA,0.0209764097007088,0.0191375978026987
"Bleomycin (50 uM)","success",794,14,0.0615518107327842,NA,0.054567368738274,0.050499871024955
"SN-38","success",766,13,0.0393227265772819,NA,0.034472835096459,0.0322269675757995
"Olaparib","success",744,13,0.00348568885388064,NA,0.0033110667737407,0.00313325712124698
"Selumetinib_repl_1498","success",758,13,0.0305850315447961,NA,0.0242393774651699,0.0233663286153461
"Bicalutamide","success",705,12,0.000917526343521985,NA,0.000896285962269611,0.000891631178760159
"Refametinib","success",705,12,0.0295163061213867,NA,0.0226659523789829,0.0202958638834012
"Pictilisib_repl_1527","success",710,12,0.0200777543175274,NA,0.0195336365787173,0.0193128808225803
"Pevonedistat","success",499,9,0.0162187095066107,NA,0.0143195379124747,0.0137532317535782
"Doxorubicin","success",688,12,0.0425604991526672,NA,0.0408342979456531,0.0401117830988931
"Etoposide","success",720,13,0.0514772521292228,NA,0.0476765596366027,0.0460470750865569
"Gemcitabine","success",685,12,0.100065705295234,NA,0.0914793289511101,0.0882308433944861
"Mitomycin-C","success",689,12,0.0460211866128096,NA,0.0430801560452443,0.0428150153097857
"Vinorelbine","success",720,13,0.0326315625544614,NA,0.0310646725740386,0.0302809938266442
"NSC-87877","success",691,12,0.00119569767315121,NA,0.00116535381744652,0.00115858411281901
"Bicalutamide_repl_150","success",688,12,9.9540836359599e-05,NA,9.50773427515649e-05,9.23329793808004e-05
"QS11","success",689,12,0.00737800336814344,NA,0.00715691888203361,0.00713816102127145
"CP466722","success",760,13,0.0164984848308767,NA,0.0121935498985161,0.0112139040106474
"Midostaurin","success",720,13,0.00688254826068945,NA,0.00676395013750186,0.00675833755883525
"CHIR-99021_repl_154","success",717,13,0.00142990577539526,NA,0.00135477932694113,0.00134684313227158
"Ponatinib","success",719,13,0.0234739049126287,NA,0.0193710128529999,0.015696484781486
"AZD6482_repl_156","success",715,13,0.0118973500016254,NA,0.0113510754875245,0.0110419571288586
"JNK-9L","success",719,13,0.0176546215489531,NA,0.0167535903281805,0.0168512830444866
"PF-562271","success",682,12,0.00346258226653043,NA,0.00335982895166538,0.00333675974701766
"HG6-64-1","success",716,13,0.0314807336992903,NA,0.0268010597222382,0.0249884507654813
"JQ1_repl_163","success",720,13,0.0268527956951004,NA,0.0252868492876142,0.0244120786892727
"JQ12","success",715,13,0.0275656794407309,NA,0.0261829882661656,0.0252850012635625
"DMOG","success",717,13,0.0424710167756665,NA,0.035796306179342,0.0331503169590679
"FTI-277","success",719,13,0.000898364056359958,NA,0.000848105342610962,0.000833771035938771
"OSU-03012","success",687,12,0.016647276236142,NA,0.0150452780849826,0.0149373165937324
"Shikonin","success",716,13,0.0345254920491896,NA,0.0314160572346138,0.0307776759152623
"AKT inhibitor VIII","success",717,13,0.00331113441839644,NA,0.00301241259642181,0.00301890273642379
"Embelin","success",689,12,0.0114754438309236,NA,0.0106387461569014,0.010192957199949
"FH535","success",686,12,0.0231909925742316,NA,0.0217595075944252,0.0216220592021802
