"drug","status","n_samples","n_tissues","mse_en","mse_dsen","pct_improvement","alpha_en","alpha_dsen","lamrat_dsen","lambda_en","lambda_dsen"
"Tanespimycin","success",706,13,0.0321927669431858,0.0301971221764462,6.19904704141024,0.15,0.05,4,0.107514447588849,0.052624341430855
"VX-702","success",683,12,0.00108501046332997,0.00107940382919899,0.516735489698796,1,0.9,0.125,0.00911212945725909,0.0456121348029203
"Motesanib","success",706,13,0.00258533827037053,0.00257914429704109,0.239580769774707,0.05,1,2,0.438223822073515,0.00117305549667629
"KU-55933","success",704,13,0.0018728465230396,0.00181365880279263,3.16030809352784,0.05,0.05,4,0.213153752097835,0.0304424428649468
"Elesclomol","success",684,12,0.0416438109836041,0.0402516915350908,3.34292038992623,0.05,0.05,0.5,0.310849484471298,0.482316558584105
"Afatinib","success",684,12,0.0136151641334491,0.0119827469814119,11.989698662734,0.6,1,2,0.0252637067792375,0.0028975952077072
"Vismodegib","success",685,12,0.000701979695789305,0.000695790864912181,0.881625339628231,1,0.15,2,0.00519679804935099,0.0119170830309083
"PLX-4720","success",704,13,0.0060200552648006,0.00646534590161351,-7.39678652813272,1,1,1,0.013629610928143,0.00438115738417513
"BX796","success",705,13,0.00938158218596367,0.00879233943250888,6.28084625572414,0.05,0.05,2,0.174168651340257,0.0707606996363247
"NU7441","success",679,12,0.00141729796247874,0.00140483364418839,0.879442334662497,0.05,0.05,4,0.16679026198518,0.0385433214054934
"SL0101","success",699,13,0.00047961390260761,0.000479991241550476,-0.0786755639932184,1,0.05,0.125,0.00457761908736158,0.786094295579452
"Doramapimod","success",695,13,0.00151039253203428,0.00151249407706769,-0.139138997898611,1,0.05,0.5,0.00913512409879065,0.371618394123554
"JNK Inhibitor VIII","success",705,13,0.000592487864282268,0.000567428712093069,4.2294794036929,0.05,0.05,4,0.0607437733711627,0.00908845426605612
"681640","success",568,10,0.00322503195690063,0.00317025900713667,1.69836920985413,0.05,0.05,4,0.0953596024582008,0.0276854434136767
"Nutlin-3a (-)","success",706,13,0.00364171154473289,0.00363685171736423,0.133448992567453,1,1,1,0.00812794487144701,0.00504433454752099
"PD173074","success",705,13,0.00372289434124229,0.00351640886855815,5.54636940395241,0.05,1,2,0.223314551570737,0.00153416061909801
"ZM447439","success",645,12,0.00601072673536779,0.00596300669880996,0.793914590677419,1,0.05,2,0.00866098622810814,0.0627848064742503
"RO-3306","success",706,13,0.00212450632948139,0.00204006058932715,3.97484060096224,0.3,0.1,4,0.0204052872269562,0.0104445764415494
"MK-2206","success",642,11,0.0168133607657491,0.0165689433427254,1.45370950180083,0.1,0.4,4,0.14352382607057,0.020875831915973
"Palbociclib","success",643,11,0.0168701110538526,0.0169853098381321,-0.682857296622564,0.1,0.05,0.5,0.0796318497629503,0.250657085869254
"Dactolisib","success",676,12,0.0195903014680864,0.0194037065261841,0.952486321899031,0.05,1,2,0.217848844298565,0.00821519926286288
"Pictilisib","success",675,12,0.0266504614224311,0.02556840155117,4.06019188227028,0.05,0.05,4,0.486825498192151,0.226988300256722
"AZD8055","success",675,12,0.0155184097838863,0.014127717013912,8.96156751459369,0.05,0.1,4,0.148090684956534,0.0182899480172687
"PD0325901","success",675,12,0.0265542173218913,0.0252318293398002,4.97995465677304,1,0.05,4,0.0160451344297426,0.0561544100315534
"SB590885","success",644,11,0.00465561926128401,0.00498498938197053,-7.07467905345177,1,1,1,0.0136554387763715,0.00371506989312562
"Selumetinib","success",642,11,0.012886004106541,0.0123451703950018,4.19706300779987,0.1,1,4,0.131940985213766,0.00384249075090183
