"drug","method","selection","n_resistance_genes","n_sensitivity_genes","n_og_in_resistance","n_tsg_in_sensitivity","n_og_in_sensitivity","n_tsg_in_resistance","odds_ratio_og_resistance","odds_ratio_ha_og_resistance","p_og_resistance","odds_ratio_tsg_sensitivity","odds_ratio_ha_tsg_sensitivity","p_tsg_sensitivity","resistance_genes_found","sensitivity_genes_found","p_og_resistance_bh","p_tsg_sensitivity_bh"
"Tanespimycin","DSEN","freq50",8,12,0,0,1,0,0,8.33024244180431,1,0,5.59008103727715,1,"","AKT1",1,1
"Tanespimycin","EN","freq50",14,21,4,1,3,1,57.5335298201714,61.4967910625149,2.22874691433947e-06,7.01801305166692,10.2571088637716,0.138847868076884,"BCL2;KEAP1;LCK;MALT1;MYC","BRAF;KDR;STK11;WWTR1",5.36925392999964e-05,0.314484487524566
"VX-702","DSEN","freq50",1,2,0,0,1,0,0,47.2123700054735,1,0,27.9568881685575,1,"","FGFR2",1,1
"VX-702","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Motesanib","DSEN","freq50",0,1,0,0,1,0,NA,141.64039408867,1,0,46.5958941112912,1,"","WWTR1",1,1
"Motesanib","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"KU-55933","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"KU-55933","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Elesclomol","DSEN","freq50",37,19,5,1,1,1,22.5101881772281,24.3519969179402,5.89675453748123e-06,7.79970069355471,11.3665128543177,0.126497590610722,"ETV5;KIT;LCK;LRP1B;MAP2K1;SYK","TP53",0.00156263995243253,0.632487953053609
"Elesclomol","EN","freq50",30,12,4,0,0,2,22.0922472807307,24.3576115279565,5.58592228137158e-05,0,5.59008103727715,1,"APC;KIT;LCK;LRP1B;MAP2K1;SYK","",0.000616778918568112,1
"Afatinib","DSEN","freq50",2,4,0,0,1,0,0,28.3267651888342,1,0,15.5308842067351,1,"","ERBB2",1,1
"Afatinib","EN","freq50",0,7,0,0,2,0,NA,141.64039408867,1,0,9.31788222582388,1,"","EGFR;ERBB2",1,1
"Vismodegib","DSEN","freq50",2,3,0,0,0,0,0,28.3267651888342,1,0,19.9687427645288,1,"","",1,1
"Vismodegib","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"PLX-4720","DSEN","freq50",10,6,1,1,2,0,15.8080635299606,22.4332784184514,0.0678357683674803,28.0886098655739,38.2443458980044,0.0418034352858845,"RAF1","ATM;BRAF;MAP2K1",0.242925386721382,0.299402982452956
"PLX-4720","EN","freq50",0,1,0,0,1,0,NA,141.64039408867,1,0,46.5958941112912,1,"","BRAF",1,1
"BX796","DSEN","freq50",21,6,1,1,1,1,7.11402487347701,10.3932575240085,0.137168546947223,28.0886098655739,38.2443458980044,0.0418034352858845,"CDH1;ERBB3","CDKN1A",0.403885166011268,0.299402982452956
"BX796","EN","freq50",22,15,2,1,0,1,14.2744499469027,17.3793590002016,0.0102839068410554,10.0281550872955,14.5034482758621,0.101264903087323,"CDH1;ERBB3;SGK1","BAX",0.0425818017637449,0.253162257718309
"NU7441","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"NU7441","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"SL0101","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"SL0101","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Doramapimod","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Doramapimod","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"JNK Inhibitor VIII","DSEN","freq50",3,3,0,0,1,0,0,20.2329345531316,1,0,19.9687427645288,1,"","WWTR1",1,1
"JNK Inhibitor VIII","EN","freq50",3,8,0,0,3,1,0,20.2329345531316,1,0,8.22147011154543,1,"PIK3R1","EGFR;KDR;WWTR1",1,1
"681640","DSEN","freq50",2,0,0,0,0,0,0,28.3267651888342,1,NA,139.790923824959,1,"","",1,1
"681640","EN","freq50",11,17,0,2,0,0,0,6.15670736060541,1,18.7767060526156,22.6861548176604,0.00635405760531421,"","FAT4;PRF1",1,0.0295407941299696
"Nutlin-3a (-)","DSEN","freq50",3,5,1,2,2,1,71.0990860703565,85.2602965403624,0.0208517083700367,94.0259992691488,100.495222558844,0.000494229607335599,"TP53","BAX;CDKN1A;MDM2",0.115118806626244,0.0163713557429917
"Nutlin-3a (-)","EN","freq50",2,2,1,1,0,1,141.798984214153,142.103789126853,0.0139497425329623,140.016396193431,140.242276422764,0.0141326386747607,"TP53","BAX",0.0535750981338408,0.0542775253450953
"PD173074","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"PD173074","EN","freq50",1,2,0,0,1,0,0,47.2123700054735,1,0,27.9568881685575,1,"","FGFR2",1,1
"ZM447439","DSEN","freq50",13,8,0,0,0,0,0,5.24435930183057,1,0,8.22147011154543,1,"","",1,1
