"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"Tanespimycin","DSEN","freq25",75,7,545,8.19201311271633,8.70636195433381,4.47749332177552e-05,"AKT1;FHIT;KDR;KEAP1;MTOR;PTEN;WWTR1",0.000185396207854767
"Tanespimycin","DSEN","freq50",20,1,545,4.14723038620401,6.05629723811542,0.223225114068347,"AKT1",0.448141327485697
"Tanespimycin","DSEN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Tanespimycin","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AKT1;FHIT;GLI1;MTOR;PTEN;WWTR1",0.000135308025439973
"Tanespimycin","EN","freq25",105,14,545,12.3977205093494,12.7603339347861,6.56784096243709e-11,"AKT1;BCL2;BRAF;CDKN2A;ERBB2;KDR;KEAP1;LATS1;LCK;MALT1;MYC;NRG1;STK11;WWTR1",3.78364751096919e-10
"Tanespimycin","EN","freq50",35,9,545,27.6650729089894,28.6408236473298,3.81566860080299e-10,"BCL2;BRAF;KDR;KEAP1;LCK;MALT1;MYC;STK11;WWTR1",9.1922925382981e-09
"Tanespimycin","EN","freq75",11,4,545,45.2707678419971,47.5141274238227,7.5453214888709e-06,"KDR;MYC;STK11;WWTR1",8.97138890387282e-05
"Tanespimycin","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"BRAF;CPEB3;LATS1;MYC;STK11",0.00122341967851878
"VX-702","DSEN","freq25",6,1,545,15.7635313504171,21.4793388429752,0.072969780683277,"FGFR2",0.123955076160695
"VX-702","DSEN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"FGFR2",0.105927757171352
"VX-702","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"VX-702","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"BAX;CDKN1B;FGFR2;MAP2K1;PAX5;SYK;TBL1XR1",1.73825365950792e-05
"VX-702","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"VX-702","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"VX-702","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"VX-702","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"SFRP4",0.500432762988498
"Motesanib","DSEN","freq25",9,3,545,39.5371617236967,42.5632754342432,0.000156019267286339,"JAK2;MAPK1;WWTR1",0.000551268077745065
"Motesanib","DSEN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"WWTR1",0.045551185907818
"Motesanib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Motesanib","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"JAK2;LCK;MAPK1;TP53;WWTR1",0.000969918303690561
"Motesanib","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Motesanib","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Motesanib","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Motesanib","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ABL2;CDKN1B;CDKN2C;CREBBP;FCRL4;PIK3CB;SMARCA4",2.05845828099622e-05
"KU-55933","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"KU-55933","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"KU-55933","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"KU-55933","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"AKT1;GRIN2A;SMAD3",0.0335160617475657
"KU-55933","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"KU-55933","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"KU-55933","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"KU-55933","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"GATA3;PER1;TET2",0.0377295095101168
"Elesclomol","DSEN","freq25",204,20,545,8.83945239450469,9.02938999894281,1.92081250918485e-12,"AKT1;BIRC6;CDH1;CDKN1A;ETV5;JAK2;KIT;LCK;LRP1B;MAP2K1;MAPK1;MYB;NRAS;SMAD3;SPEN;SYK;TBL1XR1;TP53;TP63;TSC1",7.27164735619979e-11
"Elesclomol","DSEN","freq50",56,7,545,11.3702204078612,12.0535437944909,6.4227903079797e-06,"ETV5;KIT;LCK;LRP1B;MAP2K1;SYK;TP53",9.45577462008122e-05
"Elesclomol","DSEN","freq75",13,3,545,23.7268705654862,26.3462365591398,0.000511687085130059,"KIT;MAP2K1;SYK",0.00903980517063104
"Elesclomol","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"ETV5;JAK2;KIT;LCK;MAP2K1;SPEN;SYK;TP63",2.09196963370946e-06
"Elesclomol","EN","freq25",241,25,545,9.49641212394512,9.65627516622185,8.65560733905214e-16,"APC;ARID1B;BCL2;BCOR;ETV5;FUS;IKBKB;JAK2;KIT;LCK;LRP1B;MAP2K1;MAP3K1;MAPK1;MTOR;MYB;NRAS;PTPRB;RB1;SPEN;SYK;TP53;TP63;WWTR1;XPO1",1.20722944465727e-14
"Elesclomol","EN","freq50",42,6,545,13.2471614642912,14.1450734444628,1.35775827093172e-05,"APC;KIT;LCK;LRP1B;MAP2K1;SYK",4.86224245671494e-05
"Elesclomol","EN","freq75",9,2,545,22.544309150949,26.2996013492794,0.00533706401081048,"LRP1B;SYK",0.0199200276459828
"Elesclomol","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"APC;LRP1B;PRKAR1A;SYK;XPO1",0.00122341967851878
"Afatinib","DSEN","freq25",20,3,545,13.9607613329095,15.8051612903226,0.00191067195037231,"EGFR;ERBB2;RET",0.00511442491766325
"Afatinib","DSEN","freq50",6,1,545,15.7635313504171,21.4793388429752,0.072969780683277,"ERBB2",0.174207134063679
"Afatinib","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Afatinib","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"EGFR;ERBB2;RAF1;RET",0.00588945112474559
"Afatinib","EN","freq25",20,3,545,13.9607613329095,15.8051612903226,0.00191067195037231,"EGFR;ERBB2;FAT1",0.00305016907740158
"Afatinib","EN","freq50",7,2,545,31.562966672767,35.8647654093836,0.00316553868715281,"EGFR;ERBB2",0.00710904874657199
"Afatinib","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Afatinib","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"EGFR;FAT1;RHOA",0.0377295095101168
"Vismodegib","DSEN","freq25",14,1,545,6.06189418746964,8.74920926436078,0.162061852136361,"FGFR2",0.249688318698464
"Vismodegib","DSEN","freq50",5,0,545,0,7.14665444546288,1,"",1
"Vismodegib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Vismodegib","DSEN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"FGFR2;NF2",0.158188651880597
"Vismodegib","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Vismodegib","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Vismodegib","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Vismodegib","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"FUS",0.500432762988498
"PLX-4720","DSEN","freq25",59,8,545,12.5107613216532,13.1539850982163,7.38375847269196e-07,"ATM;BRAF;GATA3;MAP2K1;MITF;MYH9;PTEN;RAF1",5.59055998646677e-06
"PLX-4720","DSEN","freq50",16,4,545,26.3958698443875,28.5051523545706,3.95882157362108e-05,"ATM;BRAF;MAP2K1;RAF1",0.000403495275772918
"PLX-4720","DSEN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0898712586829923
"PLX-4720","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"ATM;BRAF;MAP2K1;MITF;MYB;MYH9;PTEN;RAF1",2.09196963370946e-06
"PLX-4720","EN","freq25",4,2,545,78.8657249878915,78.9080036798528,0.000927364968499253,"BRAF;MITF",0.00151698590526112
"PLX-4720","EN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0244502689064023
"PLX-4720","EN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0386655415264037
"PLX-4720","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"BRAF",0.500432762988498
"BX796","DSEN","freq25",120,8,545,5.68918712846373,6.01302739018088,0.000143586760309936,"ASXL1;BAX;CDH1;CDKN1A;ERBB3;GLI1;GNAS;NCOR2",0.00052123960934429
"BX796","DSEN","freq50",27,3,545,9.88480163937136,11.2875576036866,0.00459385591490245,"CDH1;CDKN1A;ERBB3",0.0213574003061254
"BX796","DSEN","freq75",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"ERBB3",0.229002186848483
"BX796","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDH1;CDKN1A;ERBB3",0.0335160617475657
"BX796","EN","freq25",190,11,545,4.91437970878754,5.11929510046356,3.17497405098321e-05,"APC;BAX;BRAF;CDH1;CDKN1A;ERBB3;NCOR2;PTPRB;SGK1;U2AF1;VAV1",6.42265743137826e-05
"BX796","EN","freq50",37,4,545,9.60032238765095,10.6310414685575,0.00116632561782041,"BAX;CDH1;ERBB3;SGK1",0.0028234555645862
"BX796","EN","freq75",6,2,545,39.4662595243301,43.8357354594705,0.0022800244356804,"CDH1;ERBB3",0.0106001136044791
"BX796","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"SGK1;U2AF1;WT1",0.0377295095101168
"NU7441","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"BRAF;EP300;GRIN2A;MSH2;SMAD3",0.000969918303690561
"NU7441","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"NU7441","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"PIK3CB",0.500432762988498
"SL0101","DSEN","freq25",5,0,545,0,7.14665444546288,1,"",1
"SL0101","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"SL0101","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"SL0101","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"ASXL2;CCND1;ERBB2",0.0335160617475657
"SL0101","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"SL0101","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"SL0101","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"SL0101","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"PPP2R1A;TFE3",0.156041294615249
"Doramapimod","DSEN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Doramapimod","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Doramapimod","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Doramapimod","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ARHGEF10;ARID1B;KIT;MAP2K1",0.00588945112474559
"Doramapimod","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Doramapimod","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Doramapimod","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Doramapimod","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"FCRL4;HLF;MAP2K1",0.0377295095101168
"JNK Inhibitor VIII","DSEN","freq25",25,5,545,19.8391566667645,21.2790099501365,1.31857478986893e-05,"BAX;EGFR;NRG1;SMAD3;WWTR1",6.3531330784594e-05
"JNK Inhibitor VIII","DSEN","freq50",6,1,545,15.7635313504171,21.4793388429752,0.072969780683277,"WWTR1",0.174207134063679
"JNK Inhibitor VIII","DSEN","freq75",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"WWTR1",0.182431137350661
"JNK Inhibitor VIII","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"BAX;EGFR;ESR1;NDRG1;NRG1;SMAD3;SND1;WWTR1",2.09196963370946e-06
"JNK Inhibitor VIII","EN","freq25",62,11,545,17.2972151474529,17.896455266241,3.1343949709499e-10,"BCL11B;BRAF;CASP9;EGFR;ERG;KDR;LRP1B;NRG1;PIK3R1;SMAD3;WWTR1",1.62865621039554e-09
"JNK Inhibitor VIII","EN","freq50",11,4,545,45.2707678419971,47.5141274238227,7.5453214888709e-06,"EGFR;KDR;PIK3R1;WWTR1",3.12423467898561e-05
"JNK Inhibitor VIII","EN","freq75",7,2,545,31.562966672767,35.8647654093836,0.00316553868715281,"EGFR;WWTR1",0.0133153611443729
"JNK Inhibitor VIII","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CASP9;CBLC;ERG;KEAP1;LRP1B",0.00122341967851878
"681640","DSEN","freq25",10,0,545,0,3.74304919034525,1,"",1
"681640","DSEN","freq50",2,0,545,0,15.7237396883593,1,"",1
"681640","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"681640","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CCNE1;LRP1B;SMAD3",0.0335160617475657
"681640","EN","freq25",156,10,545,5.47214384274126,5.72073880746838,3.04626713503896e-05,"CDKN2A;CREBBP;FAT4;FCRL4;KDR;MPL;NOTCH1;PRF1;RUNX1T1;SMAD3",6.20969839065633e-05
"681640","EN","freq50",28,2,545,6.07121689797585,7.43998541945115,0.0479280213344293,"FAT4;PRF1",0.0824735432053491
"681640","EN","freq75",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"PRF1",0.117595717570843
"681640","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"FAT4;FCRL4;NOTCH1;PRF1",0.00746615457546488
"Nutlin-3a (-)","DSEN","freq25",28,4,545,13.2018859141534,14.5393747526712,0.000395272256734634,"BAX;CDKN1A;MDM2;TP53",0.00127740424432534
"Nutlin-3a (-)","DSEN","freq50",8,4,545,79.1506217967506,79.1957525392428,1.64924333844918e-06,"BAX;CDKN1A;MDM2;TP53",4.42170551138894e-05
"Nutlin-3a (-)","DSEN","freq75",2,2,545,Inf,394.558417663293,0.000157168585789389,"CDKN1A;TP53",0.00378633411219891
"Nutlin-3a (-)","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"BAX;BCOR;CDKN1A;MAP2K1;MDM2;MSH2;NOTCH1;TP53",2.09196963370946e-06
"Nutlin-3a (-)","EN","freq25",7,2,545,31.562966672767,35.8647654093836,0.00316553868715281,"BAX;TP53",0.00479353001197426
"Nutlin-3a (-)","EN","freq50",4,2,545,78.8657249878915,78.9080036798528,0.000927364968499253,"BAX;TP53",0.00231841242124813
"Nutlin-3a (-)","EN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"TP53",0.0386655415264037
"Nutlin-3a (-)","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"BAX;CCND1;LEF1;MAP2K1;TFE3;TP53",0.000164144162009147
"PD173074","DSEN","freq25",13,1,545,6.56714583987763,9.44936639118457,0.151410510081885,"FGFR2",0.236022265715879
"PD173074","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"PD173074","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"PD173074","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CHST11;FGFR2;GRIN2A;NTRK3",0.00588945112474559
"PD173074","EN","freq25",28,3,545,9.48844447719303,10.8446552814674,0.00509768595388259,"APC;CTNNB1;FGFR2",0.00754685350714462
