"analysis","selection","method","group_name","n","n_sig_raw","frac_sig_raw","n_sig_bh","frac_sig_bh","median_odds_ratio_ha","median_n_selected","p_value"
"significance_fraction","freq50","DSEN","all_drugs",265,98,0.369811320754717,74,0.279245283018868,23.5805435407656,5,NA
"significance_fraction","freq50","EN","all_drugs",265,156,0.588679245283019,145,0.547169811320755,15.9151346332405,14,NA
"paired_wilcoxon","freq50","DSEN_vs_EN","all_drugs",265,NA,NA,NA,NA,7.66540890752507,NA,0.139867753137698
"significance_fraction","freq25","DSEN","all_drugs",265,147,0.554716981132075,141,0.532075471698113,10.659265521271,26,NA
"significance_fraction","freq25","EN","all_drugs",265,196,0.739622641509434,192,0.724528301886792,8.50749379652605,73,NA
"paired_wilcoxon","freq25","DSEN_vs_EN","all_drugs",265,NA,NA,NA,NA,2.15177172474499,NA,0.00276764702835114
"significance_fraction","freq75","DSEN","all_drugs",265,57,0.215094339622642,24,0.0905660377358491,78.6223648029331,1,NA
"significance_fraction","freq75","EN","all_drugs",265,111,0.418867924528302,87,0.328301886792453,33.7548209366391,3,NA
"paired_wilcoxon","freq75","DSEN_vs_EN","all_drugs",265,NA,NA,NA,NA,44.867543866294,NA,9.85512726638693e-05
"significance_fraction","top50","DSEN","all_drugs",265,197,0.743396226415094,197,0.743396226415094,7.65659905281029,50,NA
"significance_fraction","top50","EN","all_drugs",265,175,0.660377358490566,175,0.660377358490566,5.81887945670628,50,NA
"paired_wilcoxon","top50","DSEN_vs_EN","all_drugs",265,NA,NA,NA,NA,1.83771959610401,NA,0.147654105150807
"pathway_enrichment","freq50","DSEN","ABL signaling",2,1,0.5,1,0.5,46.7864221573515,10.5,NA
"pathway_enrichment","freq50","DSEN","Apoptosis regulation",7,2,0.285714285714286,1,0.142857142857143,12.7232394575185,5,NA
"pathway_enrichment","freq50","DSEN","Cell cycle",15,5,0.333333333333333,4,0.266666666666667,11.230980751604,10,NA
"pathway_enrichment","freq50","DSEN","Chromatin histone acetylation",12,6,0.5,4,0.333333333333333,28.412864119762,2,NA
"pathway_enrichment","freq50","DSEN","Chromatin histone methylation",3,1,0.333333333333333,0,0,47.2578512396694,1,NA
"pathway_enrichment","freq50","DSEN","Chromatin other",5,1,0.2,1,0.2,34.9040888066605,2,NA
