"drug","method","selection","gene_symbol","coef_value","coef_sign","is_og","is_tsg","is_fusion","role","primary_pathway"
"Tanespimycin","DSEN","freq50","AKT1",-0.000797726461241506,"negative",1,0,0,"OG","Protein stability and degradation"
"Tanespimycin","EN","freq50","BCL2",0.00143477985674266,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Tanespimycin","EN","freq50","BRAF",-0.00840607734813553,"negative",1,0,1,"OG;fusion","Protein stability and degradation"
"Tanespimycin","EN","freq50","KDR",-0.00326020306333055,"negative",1,0,0,"OG","Protein stability and degradation"
"Tanespimycin","EN","freq50","KEAP1",0.00171450329904119,"positive",0,1,0,"TSG","Protein stability and degradation"
"Tanespimycin","EN","freq50","LCK",0.00157694218574905,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Tanespimycin","EN","freq50","MALT1",0.00174214520115621,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Tanespimycin","EN","freq50","MYC",0.0195292415808882,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Tanespimycin","EN","freq50","STK11",-0.0330892546279357,"negative",0,1,0,"TSG","Protein stability and degradation"
"Tanespimycin","EN","freq50","WWTR1",-0.00346577781132004,"negative",1,0,1,"OG;fusion","Protein stability and degradation"
"VX-702","DSEN","freq50","FGFR2",-0.00183256115809408,"negative",1,0,1,"OG;fusion","JNK and p38 signaling"
"Motesanib","DSEN","freq50","WWTR1",-0.000754424125830371,"negative",1,0,1,"OG;fusion","RTK signaling"
"Elesclomol","DSEN","freq50","ETV5",0.00161269299481416,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Elesclomol","DSEN","freq50","KIT",0.00292377768285502,"positive",1,0,0,"OG","Protein stability and degradation"
"Elesclomol","DSEN","freq50","LCK",0.00212145672271959,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Elesclomol","DSEN","freq50","LRP1B",0.00115164735263793,"positive",0,1,0,"TSG","Protein stability and degradation"
"Elesclomol","DSEN","freq50","MAP2K1",0.00320000199468887,"positive",1,0,0,"OG","Protein stability and degradation"
"Elesclomol","DSEN","freq50","SYK",0.004459405021535,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Elesclomol","DSEN","freq50","TP53",-0.00105851399970006,"negative",1,1,1,"OG;TSG;fusion","Protein stability and degradation"
"Elesclomol","EN","freq50","APC",0.00385077516795265,"positive",0,1,0,"TSG","Protein stability and degradation"
"Elesclomol","EN","freq50","KIT",0.00189825527959148,"positive",1,0,0,"OG","Protein stability and degradation"
"Elesclomol","EN","freq50","LCK",0.00156607684625253,"positive",1,0,1,"OG;fusion","Protein stability and degradation"
"Elesclomol","EN","freq50","LRP1B",0.00526496780764216,"positive",0,1,0,"TSG","Protein stability and degradation"
