"feature_name","gene_symbol","feature_type"
"CDKN2A_mut.hsrec","CDKN2A","mutation"
"TP53_mut.hsrec","TP53","mutation"
"KRAS_mut.hsrec","KRAS","mutation"
"BRAF_mut.hsrec","BRAF","mutation"
"PIK3CA_mut.hsrec","PIK3CA","mutation"
"NRAS_mut.hsrec","NRAS","mutation"
"FGFR3_mut.hsrec","FGFR3","mutation"
"MYD88_mut.hsrec","MYD88","mutation"
"SF3B1_mut.hsrec","SF3B1","mutation"
"IDH1_mut.hsrec","IDH1","mutation"
"CALR_mut.hsrec","CALR","mutation"
"CTNNB1_mut.hsrec","CTNNB1","mutation"
"EGFR_mut.hsrec","EGFR","mutation"
"SH3GLB1_mut.hs","SH3GLB1","mutation"
"GBP1_mut.hs","GBP1","mutation"
"GJA8_mut.hs","GJA8","mutation"
"OR2C3_mut.hs","OR2C3","mutation"
"RAB17_mut.hs","RAB17","mutation"
"CDC25A_mut.hs","CDC25A","mutation"
"MAPKAPK3_mut.hs","MAPKAPK3","mutation"
"HCLS1_mut.hs","HCLS1","mutation"
"PIK3CA_mut.hs","PIK3CA","mutation"
"TP63_mut.hs","TP63","mutation"
"UNC5C_mut.hs","UNC5C","mutation"
"GUCY1A3_mut.hs","GUCY1A3","mutation"
"ZNF366_mut.hs","ZNF366","mutation"
"PCDHA11_mut.hs","PCDHA11","mutation"
"KHDRBS2_mut.hs","KHDRBS2","mutation"
"SOBP_mut.hs","SOBP","mutation"
"PHKG1_mut.hs","PHKG1","mutation"
"BRAF_mut.hs","BRAF","mutation"
"RBM33_mut.hs","RBM33","mutation"
"DNAJC5B_mut.hs","DNAJC5B","mutation"
"NBN_mut.hs","NBN","mutation"
"CPQ_mut.hs","CPQ","mutation"
"OLFM1_mut.hs","OLFM1","mutation"
"ATE1_mut.hs","ATE1","mutation"
"LRP6_mut.hs","LRP6","mutation"
"GUCY2C_mut.hs","GUCY2C","mutation"
"HCFC2_mut.hs","HCFC2","mutation"
"MYO16_mut.hs","MYO16","mutation"
"MYH6_mut.hs","MYH6","mutation"
"NUMB_mut.hs","NUMB","mutation"
"CDCA4_mut.hs","CDCA4","mutation"
"IQCH_mut.hs","IQCH","mutation"
"LINGO1_mut.hs","LINGO1","mutation"
"TP53_mut.hs","TP53","mutation"
"STK11_mut.hs","STK11","mutation"
"OSBP2_mut.hs","OSBP2","mutation"
"NFE2L2_mut.hs","NFE2L2","mutation"
"HSF2_mut.hs","HSF2","mutation"
"FAT1_mut.hs","FAT1","mutation"
"GPR98_mut.hs","GPR98","mutation"
"SLCO6A1_mut.hs","SLCO6A1","mutation"
"OR51Q1_mut.hs","OR51Q1","mutation"
"SMARCA4_mut.hs","SMARCA4","mutation"
"DNAH5_mut.hs","DNAH5","mutation"
"BNC1_mut.hs","BNC1","mutation"
"NRAS_mut.hs","NRAS","mutation"
"TACR3_mut.hs","TACR3","mutation"
"LZTS1_mut.hs","LZTS1","mutation"
"CCBL1_mut.hs","CCBL1","mutation"
"CDH8_mut.hs","CDH8","mutation"
"GRIK2_mut.hs","GRIK2","mutation"
"KRAS_mut.hs","KRAS","mutation"
"EPX_mut.hs","EPX","mutation"
"PDYN_mut.hs","PDYN","mutation"
"TLDC2_mut.hs","TLDC2","mutation"
"MKL1_mut.hs","MKL1","mutation"
"RALB_mut.hs","RALB","mutation"
"SPHKAP_mut.hs","SPHKAP","mutation"
"DNAH7_mut.hs","DNAH7","mutation"
"CCKBR_mut.hs","CCKBR","mutation"
"RYBP_mut.hs","RYBP","mutation"
"ABCC5_mut.hs","ABCC5","mutation"
"FGA_mut.hs","FGA","mutation"
"FNIP1_mut.hs","FNIP1","mutation"
"RANBP17_mut.hs","RANBP17","mutation"
"ST18_mut.hs","ST18","mutation"
"TEK_mut.hs","TEK","mutation"
"SLC35E3_mut.hs","SLC35E3","mutation"
"LPO_mut.hs","LPO","mutation"
"SVOPL_mut.hs","SVOPL","mutation"
"F2_mut.hs","F2","mutation"
"SMAD4_mut.hs","SMAD4","mutation"
"PIK3R4_mut.hs","PIK3R4","mutation"
"PLRG1_mut.hs","PLRG1","mutation"
