drug,en_stable_features,dsen_shared_stable_features,dsen_tissue_stable_features,dsen_shared_sparser_than_en,dsen_shared_zero
Tanespimycin,36,20,240,TRUE,FALSE
VX-702,0,3,0,FALSE,FALSE
Motesanib,0,1,6,FALSE,FALSE
KU-55933,0,0,17,FALSE,TRUE
Elesclomol,43,57,0,FALSE,FALSE
Afatinib,7,7,4,FALSE,FALSE
Vismodegib,0,5,4,FALSE,FALSE
PLX-4720,1,16,1,FALSE,FALSE
BX796,38,29,32,TRUE,FALSE
NU7441,0,0,18,FALSE,TRUE
SL0101,0,0,0,FALSE,TRUE
Doramapimod,0,0,0,FALSE,TRUE
JNK Inhibitor VIII,11,6,19,TRUE,FALSE
681640,29,2,185,TRUE,FALSE
Nutlin-3a (-),4,8,0,FALSE,FALSE
PD173074,3,0,6,TRUE,TRUE
ZM447439,4,21,27,FALSE,FALSE
RO-3306,4,4,33,FALSE,FALSE
MK-2206,9,0,7,TRUE,TRUE
Palbociclib,40,46,0,FALSE,FALSE
Dactolisib,30,4,0,TRUE,FALSE
Pictilisib,1,0,16,TRUE,TRUE
AZD8055,69,5,59,TRUE,FALSE
PD0325901,7,5,133,TRUE,FALSE
SB590885,1,15,1,FALSE,FALSE
Selumetinib,10,0,5,TRUE,TRUE
AZD6482,2,9,24,FALSE,FALSE
CCT007093,36,32,0,TRUE,FALSE
EHT-1864,1,19,0,FALSE,FALSE
Avagacestat,28,6,3,TRUE,FALSE
BMS-536924,4,6,16,FALSE,FALSE
Cetuximab,1,6,0,FALSE,FALSE
PF-4708671,0,0,9,FALSE,TRUE
Serdemetan,21,22,2,FALSE,FALSE
HG-5-113-01,26,0,18,TRUE,TRUE
HG-5-88-01,0,4,2,FALSE,FALSE
TW 37,58,6,1,TRUE,FALSE
XMD11-85h,0,6,13,FALSE,FALSE
ZG-10,14,10,0,TRUE,FALSE
XMD8-92,16,1,2,TRUE,FALSE
QL-VIII-58,1,1,4,FALSE,FALSE
CCT-018159,52,24,10,TRUE,FALSE
Rucaparib,0,6,22,FALSE,FALSE
GSK269962A,2,1,10,TRUE,FALSE
SB-505124,0,8,0,FALSE,FALSE
Tamoxifen,0,0,0,FALSE,TRUE
QL-XII-61,16,3,2,TRUE,FALSE
JQ1,34,0,74,TRUE,TRUE
PFI-1,9,8,11,TRUE,FALSE
IOX2,1,1,0,FALSE,FALSE
UNC0638,54,4,56,TRUE,FALSE
YK-4-279,82,14,4,TRUE,FALSE
CHIR-99021,44,8,34,TRUE,FALSE
(5Z)-7-Oxozeaenol,14,7,5,TRUE,FALSE
Piperlongumine,29,2,1,TRUE,FALSE
Daporinad,79,55,68,TRUE,FALSE
Talazoparib,44,8,4,TRUE,FALSE
rTRAIL,5,0,5,TRUE,TRUE
UNC1215,5,2,0,TRUE,FALSE
SGC0946,0,0,13,FALSE,TRUE
XAV939,52,34,4,TRUE,FALSE
PLX-4720_repl_1371,1,3,6,FALSE,FALSE
Trametinib,20,5,43,TRUE,FALSE
Dabrafenib,5,9,7,FALSE,FALSE
Temozolomide,0,0,0,FALSE,TRUE
Afatinib_repl_1377,5,33,41,FALSE,FALSE
Bleomycin (50 uM),86,34,75,TRUE,FALSE
SN-38,11,11,0,FALSE,FALSE
Olaparib,41,4,19,TRUE,FALSE
Selumetinib_repl_1498,16,21,0,FALSE,FALSE
Bicalutamide,0,23,0,FALSE,FALSE
Refametinib,15,50,148,FALSE,FALSE
Pictilisib_repl_1527,0,24,0,FALSE,FALSE
Pevonedistat,63,8,11,TRUE,FALSE
Doxorubicin,4,3,0,TRUE,FALSE
Etoposide,44,28,10,TRUE,FALSE
Gemcitabine,11,6,0,TRUE,FALSE
Mitomycin-C,6,5,1,TRUE,FALSE
Vinorelbine,20,7,0,TRUE,FALSE
NSC-87877,0,0,7,FALSE,TRUE
