metric,value
jaccard_en_vs_dsen_shared_mean,0.1389436789825921
jaccard_en_vs_dsen_shared_median,0.08333333333333333
jaccard_en_vs_dsen_shared_pct_zero,33.47280334728033
jaccard_en_vs_dsen_combined_mean,0.14837367047876873
jaccard_en_vs_dsen_combined_median,0.1188235294117647
jaccard_en_vs_dsen_combined_pct_zero,23.046875
jaccard_dsen_shared_vs_tissue_mean,0.03864213471909794
jaccard_dsen_shared_vs_tissue_median,0
jaccard_dsen_shared_vs_tissue_pct_zero,55.118110236220474
mean_en_genes,26.222641509433963
mean_dsen_shared_genes,10.626415094339622
mean_dsen_tissue_genes,32.0188679245283
mean_dsen_combined_genes,41.04150943396226
en_genes_in_neither_dsen_block_pct,61.7046569441964
