drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
Tanespimycin,0.5,31,16,233,239,9.67741935483871,16.129032258064516,16.129032258064516,58.064516129032256,0.20512820512820512,0.05058365758754864,0.04184100418410042
VX-702,0.5,0,3,0,3,NA,NA,NA,NA,0,0,0
Motesanib,0.5,0,1,5,6,NA,NA,NA,NA,0,0,0
KU-55933,0.5,0,0,17,17,NA,NA,NA,NA,NA,0,0
Elesclomol,0.5,37,51,0,51,70.27027027027027,0,0,29.72972972972973,0.41935483870967744,0.41935483870967744,0
Afatinib,0.5,4,3,2,5,25,0,0,75,0.16666666666666666,0.125,0
Vismodegib,0.5,0,5,4,8,NA,NA,NA,NA,0,0,0.125
PLX-4720,0.5,1,15,1,16,100,0,0,0,0.06666666666666667,0.0625,0
BX796,0.5,36,26,30,52,30.555555555555557,19.444444444444443,5.555555555555555,44.44444444444444,0.2653061224489796,0.29411764705882354,0.07692307692307693
NU7441,0.5,0,0,16,16,NA,NA,NA,NA,NA,0,0
SL0101,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Doramapimod,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
JNK Inhibitor VIII,0.5,9,6,13,16,33.333333333333336,11.11111111111111,22.22222222222222,33.333333333333336,0.5,0.3157894736842105,0.1875
681640,0.5,28,2,185,185,0,10.714285714285714,3.5714285714285716,85.71428571428571,0.034482758620689655,0.019138755980861243,0.010810810810810811
Nutlin-3a (-),0.5,4,7,0,7,75,0,0,25,0.375,0.375,0
PD173074,0.5,3,0,6,6,0,66.66666666666667,0,33.333333333333336,0,0.2857142857142857,0
ZM447439,0.5,4,19,27,43,0,0,0,100,0,0,0.06976744186046512
RO-3306,0.5,3,4,31,33,0,33.333333333333336,66.66666666666667,0,0.4,0.09090909090909091,0.06060606060606061
MK-2206,0.5,8,0,6,6,0,0,0,100,0,0,0
Palbociclib,0.5,35,39,0,39,45.714285714285715,0,0,54.285714285714285,0.27586206896551724,0.27586206896551724,0
Dactolisib,0.5,30,4,0,4,13.333333333333334,0,0,86.66666666666667,0.13333333333333333,0.13333333333333333,0
