drug,threshold,n_targets,en_any,dsen_shared_any,dsen_tissue_any,dsen_combined_any
Tanespimycin,0.005,1,FALSE,FALSE,FALSE,FALSE
VX-702,0.005,1,FALSE,FALSE,FALSE,FALSE
Motesanib,0.005,4,FALSE,TRUE,TRUE,TRUE
KU-55933,0.005,1,FALSE,TRUE,TRUE,TRUE
Elesclomol,0.005,1,TRUE,TRUE,FALSE,TRUE
Afatinib,0.005,2,TRUE,TRUE,TRUE,TRUE
Vismodegib,0.005,1,FALSE,FALSE,FALSE,FALSE
PLX-4720,0.005,1,TRUE,TRUE,FALSE,TRUE
NU7441,0.005,1,FALSE,FALSE,FALSE,FALSE
SL0101,0.005,4,FALSE,FALSE,FALSE,FALSE
Doramapimod,0.005,2,FALSE,FALSE,FALSE,FALSE
JNK Inhibitor VIII,0.005,1,FALSE,TRUE,TRUE,TRUE
681640,0.005,2,FALSE,FALSE,TRUE,TRUE
Nutlin-3a (-),0.005,1,TRUE,TRUE,FALSE,TRUE
PD173074,0.005,3,TRUE,TRUE,TRUE,TRUE
ZM447439,0.005,2,FALSE,FALSE,FALSE,FALSE
RO-3306,0.005,1,FALSE,FALSE,TRUE,TRUE
MK-2206,0.005,2,TRUE,FALSE,TRUE,TRUE
Palbociclib,0.005,2,FALSE,FALSE,FALSE,FALSE
Dactolisib,0.005,2,TRUE,TRUE,TRUE,TRUE
Pictilisib,0.005,1,TRUE,FALSE,FALSE,FALSE
AZD8055,0.005,1,TRUE,FALSE,TRUE,TRUE
PD0325901,0.005,2,TRUE,TRUE,TRUE,TRUE
SB590885,0.005,1,TRUE,TRUE,FALSE,TRUE
Selumetinib,0.005,2,TRUE,FALSE,TRUE,TRUE
AZD6482,0.005,1,TRUE,FALSE,TRUE,TRUE
CCT007093,0.005,1,FALSE,TRUE,FALSE,TRUE
EHT-1864,0.005,3,FALSE,TRUE,FALSE,TRUE
BMS-536924,0.005,2,TRUE,FALSE,TRUE,TRUE
Cetuximab,0.005,1,TRUE,TRUE,FALSE,TRUE
PF-4708671,0.005,1,TRUE,FALSE,FALSE,FALSE
Serdemetan,0.005,1,FALSE,TRUE,FALSE,TRUE
HG-5-113-01,0.005,1,FALSE,FALSE,FALSE,FALSE
HG-5-88-01,0.005,2,FALSE,FALSE,FALSE,FALSE
TW 37,0.005,3,TRUE,FALSE,FALSE,FALSE
XMD11-85h,0.005,2,FALSE,FALSE,FALSE,FALSE
ZG-10,0.005,1,FALSE,FALSE,FALSE,FALSE
XMD8-92,0.005,1,TRUE,FALSE,FALSE,FALSE
QL-VIII-58,0.005,2,FALSE,TRUE,TRUE,TRUE
CCT-018159,0.005,1,TRUE,TRUE,TRUE,TRUE
Rucaparib,0.005,2,FALSE,FALSE,TRUE,TRUE
GSK269962A,0.005,2,TRUE,FALSE,TRUE,TRUE
Tamoxifen,0.005,1,TRUE,TRUE,FALSE,TRUE
QL-XII-61,0.005,2,FALSE,FALSE,FALSE,FALSE
JQ1,0.005,4,TRUE,FALSE,TRUE,TRUE
PFI-1,0.005,1,FALSE,FALSE,FALSE,FALSE
IOX2,0.005,1,FALSE,FALSE,FALSE,FALSE
CHIR-99021,0.005,2,TRUE,TRUE,TRUE,TRUE
(5Z)-7-Oxozeaenol,0.005,1,FALSE,FALSE,FALSE,FALSE
Daporinad,0.005,1,TRUE,TRUE,TRUE,TRUE
Talazoparib,0.005,2,FALSE,FALSE,FALSE,FALSE
UNC1215,0.005,1,FALSE,FALSE,FALSE,FALSE
SGC0946,0.005,1,FALSE,FALSE,FALSE,FALSE
XAV939,0.005,1,TRUE,FALSE,FALSE,FALSE
PLX-4720_repl_1371,0.005,1,TRUE,TRUE,TRUE,TRUE
Trametinib,0.005,2,TRUE,TRUE,TRUE,TRUE
Dabrafenib,0.005,1,TRUE,TRUE,TRUE,TRUE
Afatinib_repl_1377,0.005,2,TRUE,TRUE,TRUE,TRUE
SN-38,0.005,1,FALSE,FALSE,FALSE,FALSE
Olaparib,0.005,2,TRUE,FALSE,FALSE,FALSE
Selumetinib_repl_1498,0.005,2,TRUE,TRUE,TRUE,TRUE
Bicalutamide,0.005,1,FALSE,TRUE,FALSE,TRUE
Refametinib,0.005,2,TRUE,TRUE,TRUE,TRUE
Pictilisib_repl_1527,0.005,1,TRUE,TRUE,FALSE,TRUE
NSC-87877,0.005,2,FALSE,FALSE,TRUE,TRUE
Bicalutamide_repl_150,0.005,1,FALSE,TRUE,TRUE,TRUE
QS11,0.005,1,FALSE,FALSE,FALSE,FALSE
CP466722,0.005,1,TRUE,TRUE,TRUE,TRUE
Midostaurin,0.005,4,TRUE,TRUE,FALSE,TRUE
CHIR-99021_repl_154,0.005,2,FALSE,FALSE,TRUE,TRUE
Ponatinib,0.005,7,TRUE,TRUE,TRUE,TRUE
AZD6482_repl_156,0.005,1,FALSE,FALSE,FALSE,FALSE
JNK-9L,0.005,2,TRUE,TRUE,FALSE,TRUE
PF-562271,0.005,2,FALSE,TRUE,FALSE,TRUE
HG6-64-1,0.005,1,TRUE,TRUE,TRUE,TRUE
JQ1_repl_163,0.005,4,FALSE,FALSE,FALSE,FALSE
JQ12,0.005,2,TRUE,FALSE,FALSE,FALSE
DMOG,0.005,1,FALSE,FALSE,FALSE,FALSE
OSU-03012,0.005,1,TRUE,TRUE,FALSE,TRUE
AKT inhibitor VIII,0.005,3,FALSE,TRUE,TRUE,TRUE
Embelin,0.005,1,FALSE,FALSE,FALSE,FALSE
IPA-3,0.005,1,TRUE,TRUE,TRUE,TRUE
GSK650394,0.005,2,FALSE,FALSE,FALSE,FALSE
BAY-61-3606,0.005,1,TRUE,TRUE,TRUE,TRUE
Obatoclax Mesylate,0.005,4,TRUE,TRUE,TRUE,TRUE
BMS-754807,0.005,2,TRUE,TRUE,TRUE,TRUE
Linsitinib,0.005,1,TRUE,TRUE,TRUE,TRUE
LFM-A13,0.005,1,FALSE,FALSE,FALSE,FALSE
GW-2580,0.005,1,FALSE,FALSE,FALSE,FALSE
Luminespib,0.005,1,FALSE,FALSE,FALSE,FALSE
Bryostatin 1,0.005,1,FALSE,FALSE,FALSE,FALSE
Pazopanib,0.005,4,TRUE,TRUE,TRUE,TRUE
Dacinostat,0.005,1,TRUE,FALSE,FALSE,FALSE
GSK1904529A,0.005,2,FALSE,FALSE,TRUE,TRUE
BMS-345541,0.005,2,FALSE,FALSE,TRUE,TRUE
Ruxolitinib,0.005,2,TRUE,FALSE,TRUE,TRUE
AS601245,0.005,2,TRUE,TRUE,FALSE,TRUE
Ispinesib Mesylate,0.005,1,FALSE,FALSE,FALSE,FALSE
AT-7519,0.005,5,TRUE,TRUE,FALSE,TRUE
TAK-715,0.005,2,TRUE,TRUE,TRUE,TRUE
BX-912,0.005,1,FALSE,TRUE,TRUE,TRUE
ZSTK474,0.005,1,FALSE,FALSE,TRUE,TRUE
AS605240,0.005,1,TRUE,FALSE,TRUE,TRUE
Genentech Cpd 10,0.005,2,FALSE,FALSE,TRUE,TRUE
GSK1070916,0.005,2,FALSE,FALSE,TRUE,TRUE
AKT inhibitor VIII_repl_228,0.005,3,TRUE,TRUE,TRUE,TRUE
Enzastaurin,0.005,1,TRUE,TRUE,FALSE,TRUE
GSK429286A,0.005,2,FALSE,FALSE,FALSE,FALSE
FMK,0.005,1,FALSE,FALSE,FALSE,FALSE
QL-XII-47,0.005,2,FALSE,FALSE,FALSE,FALSE
Idelalisib,0.005,1,FALSE,FALSE,TRUE,TRUE
Cabozantinib,0.005,9,TRUE,TRUE,TRUE,TRUE
WZ3105,0.005,5,TRUE,TRUE,FALSE,TRUE
XMD14-99,0.005,3,TRUE,TRUE,FALSE,TRUE
Quizartinib,0.005,1,TRUE,FALSE,TRUE,TRUE
CP724714,0.005,1,TRUE,TRUE,TRUE,TRUE
JW-7-24-1,0.005,1,TRUE,FALSE,TRUE,TRUE
NPK76-II-72-1,0.005,1,FALSE,TRUE,TRUE,TRUE
NG-25,0.005,2,FALSE,FALSE,FALSE,FALSE
TL-1-85,0.005,2,TRUE,FALSE,TRUE,TRUE
VX-11e,0.005,1,FALSE,TRUE,FALSE,TRUE
FR-180204,0.005,2,FALSE,TRUE,FALSE,TRUE
Tubastatin A,0.005,3,FALSE,FALSE,FALSE,FALSE
Sepantronium bromide,0.005,1,FALSE,FALSE,FALSE,FALSE
NSC-207895,0.005,1,FALSE,FALSE,TRUE,TRUE
VNLG/124,0.005,1,FALSE,FALSE,FALSE,FALSE
AR-42,0.005,1,TRUE,TRUE,TRUE,TRUE
CUDC-101,0.005,2,TRUE,TRUE,FALSE,TRUE
Belinostat,0.005,1,TRUE,FALSE,TRUE,TRUE
I-BET-762,0.005,3,FALSE,FALSE,TRUE,TRUE
CAY10603,0.005,2,TRUE,TRUE,TRUE,TRUE
Linifanib,0.005,6,TRUE,FALSE,TRUE,TRUE
BIX02189,0.005,2,FALSE,FALSE,TRUE,TRUE
Alectinib,0.005,1,FALSE,TRUE,FALSE,TRUE
Pelitinib,0.005,1,TRUE,TRUE,TRUE,TRUE
Omipalisib,0.005,2,TRUE,FALSE,TRUE,TRUE
KIN001-236,0.005,2,FALSE,FALSE,FALSE,FALSE
KIN001-244,0.005,1,TRUE,TRUE,TRUE,TRUE
WHI-P97,0.005,1,FALSE,FALSE,FALSE,FALSE
KIN001-260,0.005,1,FALSE,FALSE,FALSE,FALSE
KIN001-266,0.005,1,TRUE,FALSE,FALSE,FALSE
Masitinib,0.005,3,TRUE,TRUE,FALSE,TRUE
Amuvatinib,0.005,3,FALSE,TRUE,FALSE,TRUE
